Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
1.53858415197409e+004	(2.00810147630651e+000dB,1.62257381778233e+002°)
1.57442238074931e+004	(2.18080818677103e+000dB,1.59713673125965e+002°)
1.61109538911075e+004	(2.38879608471084e+000dB,1.56303349622713e+002°)
1.64862262157287e+004	(2.63506719088918e+000dB,1.51512650357925e+002°)
1.68702397557104e+004	(2.90361782664536e+000dB,1.44372568066124e+002°)
1.72631981201147e+004	(3.09350716392656e+000dB,1.32957778605019e+002°)
1.76653096606676e+004	(2.75100513305185e+000dB,1.13669942490593e+002°)
1.80767875822307e+004	(3.28389302655074e-001dB,8.30776184236298e+001°)
1.84978500558444e+004	(-7.06833475789407e+000dB,4.38719723393665e+001°)
1.89287203344058e+004	(-1.75956259360465e+001dB,-7.89194480677491e+001°)
1.93696268710396e+004	(-8.66856983232980e+000dB,-1.35396681873602e+002°)
1.98208034402278e+004	(-5.47045562788885e+000dB,-1.48797902751621e+002°)
2.02824892617594e+004	(-3.90857509940287e+000dB,-1.55904019745712e+002°)
2.07549291275680e+004	(-2.99130058631536e+000dB,-1.60474033755358e+002°)
2.12383735315241e+004	(-2.39177345379347e+000dB,-1.63694263470353e+002°)
2.17330788022496e+004	(-1.97119349348713e+000dB,-1.66097377146136e+002°)
2.22393072390275e+004	(-1.66087802210846e+000dB,-1.67965479534210e+002°)
2.27573272508755e+004	(-1.42309630676661e+000dB,-1.69463573140285e+002°)
2.32874134988607e+004	(-1.23546644856159e+000dB,-1.70695030055858e+002°)
2.38298470417284e+004	(-1.08390270693779e+000dB,-1.71728033222465e+002°)
2.43849154849229e+004	(-9.59113324929032e-001dB,-1.72609416055811e+002°)
2.49529131330801e+004	(-8.54729101340358e-001dB,-1.73372426697226e+002°)
2.55341411460712e+004	(-7.66242529095356e-001dB,-1.74041327018478e+002°)
2.61289076986823e+004	(-6.90376403265095e-001dB,-1.74634239601523e+002°)
2.67375281440123e+004	(-6.24692338400245e-001dB,-1.75164976141505e+002°)
2.73603251806772e+004	(-5.67339416207159e-001dB,-1.75644248960461e+002°)
2.79976290239096e+004	(-5.16887867379564e-001dB,-1.76080495695452e+002°)
2.86497775806430e+004	(-4.72216088414989e-001dB,-1.76480454037063e+002°)
2.93171166286742e+004	(-4.32432092972674e-001dB,-1.76849570671225e+002°)
2.99999999999999e+004	(-3.96817770133544e-001dB,-1.77192297669905e+002°)
3.06987897684225e+004	(-3.64788595277873e-001dB,-1.77512310885998e+002°)
3.14138564415269e+004	(-3.35864025845444e-001dB,-1.77812673290957e+002°)
3.21455791571281e+004	(-3.09645421851390e-001dB,-1.78095958794320e+002°)
3.28943458842954e+004	(-2.85799354284036e-001dB,-1.78364347266486e+002°)
3.36605536290588e+004	(-2.64044829993781e-001dB,-1.78619698286153e+002°)
3.44446086449064e+004	(-2.44143403032538e-001dB,-1.78863608969714e+002°)
3.52469266481858e+004	(-2.25891440382809e-001dB,-1.79097459751974e+002°)
3.60679330385222e+004	(-2.09114014513388e-001dB,-1.79322450948869e+002°)
3.69080631243713e+004	(-1.93660037671635e-001dB,-1.79539632197703e+002°)
3.77677623538249e+004	(-1.79398353470907e-001dB,-1.79749926343210e+002°)
3.86474865507939e+004	(-1.66214573352332e-001dB,-1.79954148955239e+002°)
3.95477021566921e+004	(-1.54008497656761e-001dB,1.79846975616840e+002°)
4.04688864777495e+004	(-1.42691999236559e-001dB,1.79652800956003e+002°)
4.14115279380864e+004	(-1.32187275794922e-001dB,1.79462747514496e+002°)
4.23761263386825e+004	(-1.22425398254569e-001dB,1.79276293352297e+002°)
4.33631931223777e+004	(-1.13345098376763e-001dB,1.79092966343217e+002°)
4.43732516450461e+004	(-1.04891750956592e-001dB,1.78912337583665e+002°)
4.54068374530861e+004	(-9.70165152005097e-002dB,1.78734015792331e+002°)
4.64644985673743e+004	(-8.96756070602149e-002dB,1.78557642530599e+002°)
4.75467957738332e+004	(-8.28296798738326e-002dB,1.78382888106097e+002°)
4.86543029207677e+004	(-7.64432950332453e-002dB,1.78209448047495e+002°)
4.97876072231266e+004	(-7.04844678402701e-002dB,1.78037040059126e+002°)
5.09473095738521e+004	(-6.49242764456572e-002dB,1.77865401380337e+002°)
5.21340248624810e+004	(-5.97365239438254e-002dB,1.77694286487593e+002°)
5.33483823011675e+004	(-5.48974454446573e-002dB,1.77523465087953e+002°)
5.45910257582993e+004	(-5.03854533523329e-002dB,1.77352720361165e+002°)
5.58626140998858e+004	(-4.61809152248927e-002dB,1.77181847414601e+002°)
5.71638215388972e+004	(-4.22659595173824e-002dB,1.77010651921042e+002°)
5.84953379927411e+004	(-3.86243052732295e-002dB,1.76838948914015e+002°)
5.98578694490661e+004	(-3.52411124537812e-002dB,1.76666561719320e+002°)
6.12521383400856e+004	(-3.21028501116215e-002dB,1.76493321004608e+002°)
6.26788839256209e+004	(-2.91971800413759e-002dB,1.76319063931565e+002°)
6.41388626850667e+004	(-2.65128538963589e-002dB,1.76143633397543e+002°)
6.56328487184863e+004	(-2.40396220574942e-002dB,1.75966877355322e+002°)
6.71616341570499e+004	(-2.17681527880322e-002dB,1.75788648201322e+002°)
6.87260295830329e+004	(-1.96899604180225e-002dB,1.75608802223908e+002°)
