Freq.	V(vo)/V(vm)
1.77827941003892e+001	(-3.51354748912480e+001dB,-1.04461706787859e-001°)
1.81970085860998e+001	(-3.51355097994691e+001dB,-1.06895021912048e-001°)
1.86208713666286e+001	(-3.51355463530165e+001dB,-1.09385022620739e-001°)
1.90546071796324e+001	(-3.51355846294467e+001dB,-1.11933029748336e-001°)
1.94984459975804e+001	(-3.51356247099727e+001dB,-1.14540394927962e-001°)
1.99526231496887e+001	(-3.51356666796368e+001dB,-1.17208501311375e-001°)
2.04173794466952e+001	(-3.51357106274905e+001dB,-1.19938764306105e-001°)
2.08929613085403e+001	(-3.51357566467844e+001dB,-1.22732632328000e-001°)
2.13796208950222e+001	(-3.51358048351658e+001dB,-1.25591587575411e-001°)
2.18776162394954e+001	(-3.51358552948861e+001dB,-1.28517146816427e-001°)
2.23872113856833e+001	(-3.51359081330183e+001dB,-1.31510862199313e-001°)
2.29086765276776e+001	(-3.51359634616843e+001dB,-1.34574322080086e-001°)
2.34422881531991e+001	(-3.51360213982930e+001dB,-1.37709151868250e-001°)
2.39883291901948e+001	(-3.51360820657899e+001dB,-1.40917014895644e-001°)
2.45470891568502e+001	(-3.51361455929183e+001dB,-1.44199613303005e-001°)
2.51188643150957e+001	(-3.51362121144929e+001dB,-1.47558688949278e-001°)
2.57039578276885e+001	(-3.51362817716864e+001dB,-1.50996024341228e-001°)
2.63026799189537e+001	(-3.51363547123293e+001dB,-1.54513443586459e-001°)
2.69153480392690e+001	(-3.51364310912244e+001dB,-1.58112813367299e-001°)
2.75422870333815e+001	(-3.51365110704759e+001dB,-1.61796043938667e-001°)
2.81838293126444e+001	(-3.51365948198336e+001dB,-1.65565090150569e-001°)
2.88403150312659e+001	(-3.51366825170544e+001dB,-1.69421952492973e-001°)
2.95120922666637e+001	(-3.51367743482802e+001dB,-1.73368678166637e-001°)
3.01995172040200e+001	(-3.51368705084333e+001dB,-1.77407362180143e-001°)
3.09029543251358e+001	(-3.51369712016317e+001dB,-1.81540148471051e-001°)
3.16227766016837e+001	(-3.51370766416229e+001dB,-1.85769231054928e-001°)
3.23593656929627e+001	(-3.51371870522387e+001dB,-1.90096855203528e-001°)
3.31131121482590e+001	(-3.51373026678716e+001dB,-1.94525318647631e-001°)
3.38844156139201e+001	(-3.51374237339739e+001dB,-1.99056972810528e-001°)
3.46736850452530e+001	(-3.51375505075795e+001dB,-2.03694224072508e-001°)
3.54813389233574e+001	(-3.51376832578517e+001dB,-2.08439535062534e-001°)
3.63078054770100e+001	(-3.51378222666564e+001dB,-2.13295425983472e-001°)
3.71535229097171e+001	(-3.51379678291617e+001dB,-2.18264475968493e-001°)
3.80189396320559e+001	(-3.51381202544675e+001dB,-2.23349324469211e-001°)
3.89045144994279e+001	(-3.51382798662634e+001dB,-2.28552672678560e-001°)
3.98107170553495e+001	(-3.51384470035188e+001dB,-2.33877284987931e-001°)
4.07380277804111e+001	(-3.51386220212054e+001dB,-2.39325990478501e-001°)
4.16869383470333e+001	(-3.51388052910537e+001dB,-2.44901684450602e-001°)
4.26579518801591e+001	(-3.51389972023461e+001dB,-2.50607329987833e-001°)
4.36515832240164e+001	(-3.51391981627469e+001dB,-2.56445959561589e-001°)
4.46683592150961e+001	(-3.51394085991722e+001dB,-2.62420676673780e-001°)
4.57088189614873e+001	(-3.51396289587011e+001dB,-2.68534657538537e-001°)
4.67735141287196e+001	(-3.51398597095299e+001dB,-2.74791152807595e-001°)
4.78630092322636e+001	(-3.51401013419719e+001dB,-2.81193489336040e-001°)
4.89778819368444e+001	(-3.51403543695048e+001dB,-2.87745071992385e-001°)
5.01187233627270e+001	(-3.51406193298681e+001dB,-2.94449385512878e-001°)
5.12861383991362e+001	(-3.51408967862119e+001dB,-3.01309996402221e-001°)
5.24807460249770e+001	(-3.51411873283018e+001dB,-3.08330554881141e-001°)
5.37031796370250e+001	(-3.51414915737798e+001dB,-3.15514796881991e-001°)
5.49540873857622e+001	(-3.51418101694865e+001dB,-3.22866546095778e-001°)
5.62341325190346e+001	(-3.51421437928456e+001dB,-3.30389716068244e-001°)
5.75439937337154e+001	(-3.51424931533148e+001dB,-3.38088312349266e-001°)
5.88843655355586e+001	(-3.51428589939061e+001dB,-3.45966434698326e-001°)
6.02559586074355e+001	(-3.51432420927783e+001dB,-3.54028279342304e-001°)
6.16595001861479e+001	(-3.51436432649063e+001dB,-3.62278141294403e-001°)
6.30957344480190e+001	(-3.51440633638299e+001dB,-3.70720416728453e-001°)
6.45654229034652e+001	(-3.51445032834862e+001dB,-3.79359605416548e-001°)
