Freq.	V(vo)/V(vi)
2.34422881531992e+000	(-3.14570930821429e+000dB,-9.43013745226718e-008°)
2.39883291901949e+000	(-3.14570930905415e+000dB,-9.64974007635340e-008°)
2.45470891568503e+000	(-3.14570930993359e+000dB,-9.87445409709112e-008°)
2.51188643150958e+000	(-3.14570931085449e+000dB,-1.01043983280626e-007°)
2.57039578276886e+000	(-3.14570931181878e+000dB,-1.03396941955499e-007°)
2.63026799189538e+000	(-3.14570931282850e+000dB,-1.05804659883834e-007°)
2.69153480392691e+000	(-3.14570931388583e+000dB,-1.08268410935129e-007°)
2.75422870333816e+000	(-3.14570931499299e+000dB,-1.10789496747745e-007°)
2.81838293126445e+000	(-3.14570931615231e+000dB,-1.13369249084611e-007°)
2.88403150312660e+000	(-3.14570931736628e+000dB,-1.16009027049212e-007°)
2.95120922666638e+000	(-3.14570931863747e+000dB,-1.18710228792757e-007°)
3.01995172040201e+000	(-3.14570931996856e+000dB,-1.21474278950384e-007°)
3.09029543251359e+000	(-3.14570932136238e+000dB,-1.24302633995052e-007°)
3.16227766016837e+000	(-3.14570932282189e+000dB,-1.27196788662213e-007°)
3.23593656929628e+000	(-3.14570932435019e+000dB,-1.30158269882066e-007°)
3.31131121482591e+000	(-3.14570932595051e+000dB,-1.33188638135879e-007°)
3.38844156139202e+000	(-3.14570932762626e+000dB,-1.36289492452956e-007°)
3.46736850452531e+000	(-3.14570932938097e+000dB,-1.39462467555227e-007°)
3.54813389233575e+000	(-3.14570933121839e+000dB,-1.42709234142790e-007°)
3.63078054770101e+000	(-3.14570933314240e+000dB,-1.46031505033045e-007°)
3.71535229097172e+000	(-3.14570933515709e+000dB,-1.49431027593855e-007°)
3.80189396320560e+000	(-3.14570933726672e+000dB,-1.52909593023631e-007°)
3.89045144994280e+000	(-3.14570933947579e+000dB,-1.56469033353155e-007°)
3.98107170553496e+000	(-3.14570934178896e+000dB,-1.60111221445574e-007°)
4.07380277804112e+000	(-3.14570934421115e+000dB,-1.63838070425329e-007°)
4.16869383470335e+000	(-3.14570934674749e+000dB,-1.67651541244983e-007°)
4.26579518801592e+000	(-3.14570934940336e+000dB,-1.71553638544882e-007°)
4.36515832240165e+000	(-3.14570935218440e+000dB,-1.75546414079651e-007°)
4.46683592150962e+000	(-3.14570935509652e+000dB,-1.79631962149534e-007°)
4.57088189614874e+000	(-3.14570935814587e+000dB,-1.83812425882303e-007°)
4.67735141287197e+000	(-3.14570936133893e+000dB,-1.88090001373600e-007°)
4.78630092322637e+000	(-3.14570936468248e+000dB,-1.92466931119496e-007°)
4.89778819368445e+000	(-3.14570936818361e+000dB,-1.96945509870087e-007°)
5.01187233627271e+000	(-3.14570937184974e+000dB,-2.01528079918069e-007°)
5.12861383991364e+000	(-3.14570937568864e+000dB,-2.06217044090850e-007°)
5.24807460249771e+000	(-3.14570937970847e+000dB,-2.11014855042772e-007°)
5.37031796370252e+000	(-3.14570938391775e+000dB,-2.15924020823162e-007°)
5.49540873857623e+000	(-3.14570938832540e+000dB,-2.20947107160660e-007°)
5.62341325190348e+000	(-3.14570939294079e+000dB,-2.26086733608420e-007°)
5.75439937337156e+000	(-3.14570939777369e+000dB,-2.31345585965149e-007°)
5.88843655355588e+000	(-3.14570940283435e+000dB,-2.36726404853466e-007°)
6.02559586074356e+000	(-3.14570940813352e+000dB,-2.42231993715059e-007°)
6.16595001861481e+000	(-3.14570941368243e+000dB,-2.47865215384195e-007°)
6.30957344480192e+000	(-3.14570941949285e+000dB,-2.53629005508151e-007°)
6.45654229034654e+000	(-3.14570942557711e+000dB,-2.59526352273809e-007°)
6.60693448007594e+000	(-3.14570943194811e+000dB,-2.65560321249727e-007°)
6.76082975391980e+000	(-3.14570943861937e+000dB,-2.71734039966932e-007°)
6.91830970918935e+000	(-3.14570944560503e+000dB,-2.78050705057452e-007°)
7.07945784384136e+000	(-3.14570945291992e+000dB,-2.84513589678385e-007°)
7.24435960074988e+000	(-3.14570946057955e+000dB,-2.91126027807156e-007°)
7.41310241300916e+000	(-3.14570946860016e+000dB,-2.97891437941421e-007°)
7.58577575029182e+000	(-3.14570947699877e+000dB,-3.04813303396755e-007°)
7.76247116628690e+000	(-3.14570948579321e+000dB,-3.11895191437900e-007°)
7.94328234724279e+000	(-3.14570949500211e+000dB,-3.19140741286054e-007°)
8.12830516164097e+000	(-3.14570950464500e+000dB,-3.26553672970656e-007°)
8.31763771102669e+000	(-3.14570951474236e+000dB,-3.34137783331820e-007°)
8.51138038202374e+000	(-3.14570952531559e+000dB,-3.41896957156444e-007°)
8.70963589956078e+000	(-3.14570953638712e+000dB,-3.49835154899963e-007°)
8.91250938133743e+000	(-3.14570954798044e+000dB,-3.57956428391115e-007°)
9.12010839355907e+000	(-3.14570956012013e+000dB,-3.66264908268152e-007°)
9.33254300796988e+000	(-3.14570957283195e+000dB,-3.74764815400497e-007°)
9.54992586021433e+000	(-3.14570958614286e+000dB,-3.83460454321316e-007°)
9.77237220955808e+000	(-3.14570960008109e+000dB,-3.92356232358778e-007°)
9.99999999999997e+000	(-3.14570961467621e+000dB,-4.01456628226577e-007°)
1.02329299228075e+001	(-3.14570962995917e+000dB,-4.10766230857513e-007°)
1.04712854805090e+001	(-3.14570964596241e+000dB,-4.20289707994017e-007°)
1.07151930523760e+001	(-3.14570966271984e+000dB,-4.30031835313345e-007°)
