Time (s),Channel 1 (V),Channel 2 (V)
-0.0025159814453125,-0.1553823858025677,-0.8893608655487122
-0.0025153564453125,-0.1408744854750428,-0.9464888445695672
-0.0025147314453125,-0.1457104522508866,-0.951682297207829
-0.0025141064453125,-0.1312025519233552,-0.8685870549956386
-0.0025134814453125,-0.1215306183716675,-0.9257150340165196
-0.0025128564453125,-0.1263665851475092,-1.003616823590413
-0.0025122314453125,-0.1070227180441361,-0.9049412234634718
-0.0025116064453125,-0.1070227180441339,-0.9620692024843953
-0.0025109814453125,-0.1021867512682923,-1.055551349973067
-0.0025103564453125,-0.09251481771660462,-0.9257150340165503
-0.0025097314453125,-0.09251481771660462,-0.9932299183139243
-0.0025091064453125,-0.08284288416491697,-1.03477753942002
-0.0025084814453125,-0.07800691738907316,-0.89974777082521
-0.0025078564453125,-0.06833498383738552,-0.9620692024843528
-0.0025072314453125,-0.0634990170615439,-0.9932299183139101
-0.0025066064453125,-0.06349901706154171,-0.9049412234634718
-0.0025059814453125,-0.04415514995816642,-0.9049412234635001
-0.0025053564453125,-0.04415514995816642,-0.9672626551226148
-0.0025047314453125,-0.0393191831823182,-0.8685870549956528
-0.0025041064453125,-0.02964724963063496,-0.89974777082521
-0.0025034814453125,-0.02964724963063496,-0.9205215813782576
-0.0025028564453125,-0.0151393493031035,-0.8322328865278052
-0.0025022314453125,-0.01030338252725968,-0.9049412234634718
-0.0025016064453125,-0.0006314489755764336,-0.9101346761017315
-0.0025009814453125,0.004204517800271784,-0.9205215813782576
-0.0025003564453125,0.004204517800278381,-1.003616823590417
-0.0024997314453125,0.01871241812780325,-0.9361019392930433
-0.0024991064453125,0.01871241812780325,-1.060744802611329
-0.0024984814453125,0.02838435167949089,-1.014003728866972
-0.0024978564453125,0.03805628523117853,-1.014003728866972
-0.0024972314453125,0.03322031845533691,-1.076325160526086
-0.0024966064453125,0.04772821878286616,-0.9309084866547814
-0.0024959814453125,0.05256418555870779,-0.9984233709521555
-0.0024953564453125,0.05740015233455381,-0.9257150340165196
-0.0024947314453125,0.06707208588624144,-0.9153281287400005
-0.0024941064453125,0.06707208588624144,-0.9257150340165196
-0.0024934814453125,0.08157998621377291,-0.8633936023573766
-0.0024928564453125,0.07674401943792909,-0.9464888445695672
-0.0024922314453125,0.08641595298961673,-0.8633936023573766
-0.0024916064453125,0.09608788654129997,-0.8945543181869339
-0.0024909814453125,0.09125191976546054,-0.9309084866547814
-0.0024903564453125,0.1105957868688358,-0.7958787180599931
-0.0024897314453125,0.1105957868688358,-0.842619791804329
-0.0024891064453125,0.1154317536446862,-0.9361019392929913
-0.0024884814453125,0.1299396539722111,-0.8218459812512814
-0.0024878564453125,0.1251036871963673,-0.9361019392930433
-0.0024872314453125,0.1396115875238988,-1.060744802611329
-0.0024866064453125,0.1396115875238988,-0.9776495603991385
-0.0024859814453125,0.149283521075582,-1.055551349973032
-0.0024853564453125,0.158955454627274,-1.128259686908734
-0.0024847314453125,0.1541194878514368,-1.07113170788782
-0.0024841064453125,0.1686273881789617,-0.9984233709521861
-0.0024834814453125,0.1734633549548055,-1.0503578973348
-0.0024828564453125,0.1734633549548055,-1.039970992058281
-0.0024822314453125,0.187971255282337,-0.8841674129104242
-0.0024816064453125,0.187971255282337,-0.9049412234634718
-0.0024809814453125,0.1976431888340246,-0.9361019392930433
-0.0024803564453125,0.2024791556098662,-0.8685870549956693
-0.0024797314453125,0.2121510891615561,-0.8322328865278052
-0.0024791064453125,0.2169870559374021,-0.8841674129104384
-0.0024784814453125,0.2218230227132437,-0.9153281287399957
-0.0024778564453125,0.2363309230407752,-0.847813244442591
-0.0024772314453125,0.2363309230407752,-0.8841674129104242
-0.0024766064453125,0.241166889816619,-0.9464888445695672
-0.0024759814453125,0.2556747901441438,-0.8841674129104525
-0.0024753564453125,0.2556747901441504,-0.9257150340165196
-0.0024747314453125,0.260510756919992,-1.008810276228672
-0.0024741064453125,0.2701826904716819,-0.9153281287399957
-0.0024734814453125,0.2750186572475301,-0.9932299183139314
-0.0024728564453125,0.2846905907992133,-1.00881027622871
-0.0024722314453125,0.2846905907992133,-0.9153281287399957
-0.0024716064453125,0.2991984911267448,-0.9776495603991385
-0.0024709814453125,0.294362524350901,-0.9412953919313052
-0.0024703564453125,0.3040344579025843,-0.8685870549956717
-0.0024697314453125,0.3137063914542763,-0.9257150340165196
-0.0024691064453125,0.3137063914542763,-0.8374263391661073
-0.0024684814453125,0.3282142917818077,-0.8789739602721623
-0.0024678564453125,0.3282142917818099,-0.8685870549956457
-0.0024672314453125,0.3330502585576516,-0.8841674129104242
-0.0024666064453125,0.3427221921093392,-0.89974777082521
-0.0024659814453125,0.347558158885183,-0.847813244442591
-0.0024653564453125,0.3572300924368706,-0.9620692024843528
-0.0024647314453125,0.3572300924368706,-0.9049412234634978
-0.0024641064453125,0.3620660592127145,-0.8633936023573766
-0.0024634814453125,0.3717379927644021,-0.9412953919312603
-0.0024628564453125,0.3717379927644021,-0.842619791804329
-0.0024622314453125,0.3814099263160919,-0.8582001497191455
-0.0024616064453125,0.3862458930919336,-0.9257150340165196
-0.0024609814453125,0.3910818598677774,-0.8582001497191147
-0.0024603564453125,0.400753793419465,-0.8633936023573766
-0.0024597314453125,0.400753793419465,-0.951682297207829
-0.0024591064453125,0.4055897601953067,-0.9568757498460886
-0.0024584814453125,0.4152616937469965,-0.8685870549956386
-0.0024578564453125,0.4200976605228426,-0.9153281287400122
-0.0024572314453125,0.4249336272986841,-0.951682297207829
-0.0024566064453125,0.4249336272986907,-0.9257150340164888
-0.0024559814453125,0.4394415276262156,-0.8582001497191147
-0.0024553564453125,0.4442774944020594,-0.8270394338895433
-0.0024547314453125,0.4442774944020594,-0.8841674129103982
-0.0024541064453125,0.4587853947295909,-0.8685870549956386
-0.0024534814453125,0.4539494279537493,-0.8841674129104171
-0.0024528564453125,0.4684573282812785,-0.8114590759747576
-0.0024522314453125,0.4732932950571246,-0.8062656233365453
-0.0024516064453125,0.4781292618329662,-0.9153281287399957
-0.0024509814453125,0.48296522860881,-0.8737805076339005
-0.0024503564453125,0.4878011953846538,-0.8010721706982338
-0.0024497314453125,0.5023090957121853,-0.8010721706982338
-0.0024491064453125,0.4974731289363437,-0.8426197918043101
-0.0024484814453125,0.5023090957121853,-0.785491812783448
-0.0024478564453125,0.5168169960397102,-0.7127834758478145
-0.0024472314453125,0.5119810292638729,-0.8530066970808529
-0.0024466064453125,0.5264889295914066,-0.7387507390391075
-0.0024459814453125,0.5313248963672482,-0.7751049075069243
-0.0024453564453125,0.5313248963672482,-0.8945543181869481
-0.0024447314453125,0.5409968299189358,-0.7647180022304004
-0.0024441064453125,0.5409968299189358,-0.8582001497191147
-0.0024434814453125,0.550668763470619,-0.9049412234634506
-0.0024428564453125,0.5555047302464673,-0.7802983601451862
-0.0024422314453125,0.5603406970223155,-0.8789739602721552
-0.0024416064453125,0.5700126305739988,-0.8633936023573766
-0.0024409814453125,0.5651766637981614,-0.8010721706982503
-0.0024403564453125,0.5796845641256864,-0.8374263391660671
-0.0024397314453125,0.5845205309015302,-0.8322328865278052
-0.0024391064453125,0.5796845641256864,-0.7958787180599719
-0.0024384814453125,0.5941924644532178,-0.7647180022304004
-0.0024378564453125,0.5893564976773762,-0.8114590759747364
-0.0024372314453125,0.5990284312290617,-0.8322328865278052
