Freq.	V(att)
1.99526231496887e+002	(-3.89450149912693e+001dB,-9.01236188244506e+001°)
2.04173794466952e+002	(-3.87450152711280e+001dB,-9.01264982767045e+001°)
2.08929613085403e+002	(-3.85450155641761e+001dB,-9.01294448000126e+001°)
2.13796208950222e+002	(-3.83450158710351e+001dB,-9.01324599566599e+001°)
2.18776162394954e+002	(-3.81450161923559e+001dB,-9.01355453453221e+001°)
2.23872113856833e+002	(-3.79450165288202e+001dB,-9.01387026019124e+001°)
2.29086765276776e+002	(-3.77450168811415e+001dB,-9.01419334004496e+001°)
2.34422881531991e+002	(-3.75450172500673e+001dB,-9.01452394539450e+001°)
2.39883291901948e+002	(-3.73450176363800e+001dB,-9.01486225153115e+001°)
2.45470891568502e+002	(-3.71450180408991e+001dB,-9.01520843782922e+001°)
2.51188643150957e+002	(-3.69450184644826e+001dB,-9.01556268784119e+001°)
2.57039578276885e+002	(-3.67450189080291e+001dB,-9.01592518939502e+001°)
2.63026799189537e+002	(-3.65450193724792e+001dB,-9.01629613469375e+001°)
2.69153480392690e+002	(-3.63450198588183e+001dB,-9.01667572041740e+001°)
2.75422870333816e+002	(-3.61450203680779e+001dB,-9.01706414782723e+001°)
2.81838293126444e+002	(-3.59450209013382e+001dB,-9.01746162287250e+001°)
2.88403150312659e+002	(-3.57450214597304e+001dB,-9.01786835629962e+001°)
2.95120922666637e+002	(-3.55450220444388e+001dB,-9.01828456376391e+001°)
3.01995172040200e+002	(-3.53450226567037e+001dB,-9.01871046594395e+001°)
3.09029543251358e+002	(-3.51450232978239e+001dB,-9.01914628865856e+001°)
3.16227766016837e+002	(-3.49450239691592e+001dB,-9.01959226298657e+001°)
3.23593656929627e+002	(-3.47450246721337e+001dB,-9.02004862538930e+001°)
3.31131121482590e+002	(-3.45450254082384e+001dB,-9.02051561783598e+001°)
3.38844156139201e+002	(-3.43450261790347e+001dB,-9.02099348793198e+001°)
