Freq.	V(n002)
1.51356124843620e+002	(-2.05170431102068e+001dB,-9.00006919953800e+001°)
1.54881661891248e+002	(-2.03170426524988e+001dB,-9.00007081140239e+001°)
1.58489319246111e+002	(-2.01170421732196e+001dB,-9.00007246081193e+001°)
1.62181009735892e+002	(-1.99170416713527e+001dB,-9.00007414864117e+001°)
1.65958690743755e+002	(-1.97170411458335e+001dB,-9.00007587578500e+001°)
1.69824365246174e+002	(-1.95170405955472e+001dB,-9.00007764315919e+001°)
1.73780082874937e+002	(-1.93170400193268e+001dB,-9.00007945170082e+001°)
1.77827941003892e+002	(-1.91170394159499e+001dB,-9.00008130236881e+001°)
1.81970085860998e+002	(-1.89170387841367e+001dB,-9.00008319614440e+001°)
1.86208713666286e+002	(-1.87170381225469e+001dB,-9.00008513403170e+001°)
1.90546071796324e+002	(-1.85170374297774e+001dB,-9.00008711705821e+001°)
1.94984459975804e+002	(-1.83170367043586e+001dB,-9.00008914627535e+001°)
1.99526231496887e+002	(-1.81170359447517e+001dB,-9.00009122275904e+001°)
2.04173794466952e+002	(-1.79170351493457e+001dB,-9.00009334761026e+001°)
2.08929613085403e+002	(-1.77170343164532e+001dB,-9.00009552195564e+001°)
2.13796208950222e+002	(-1.75170334443076e+001dB,-9.00009774694804e+001°)
2.18776162394954e+002	(-1.73170325310590e+001dB,-9.00010002376720e+001°)
2.23872113856833e+002	(-1.71170315747702e+001dB,-9.00010235362030e+001°)
2.29086765276776e+002	(-1.69170305734128e+001dB,-9.00010473774267e+001°)
2.34422881531991e+002	(-1.67170295248627e+001dB,-9.00010717739841e+001°)
2.39883291901948e+002	(-1.65170284268959e+001dB,-9.00010967388104e+001°)
2.45470891568502e+002	(-1.63170272771833e+001dB,-9.00011222851426e+001°)
2.51188643150957e+002	(-1.61170260732863e+001dB,-9.00011484265255e+001°)
2.57039578276885e+002	(-1.59170248126512e+001dB,-9.00011751768197e+001°)
2.63026799189537e+002	(-1.57170234926039e+001dB,-9.00012025502085e+001°)
2.69153480392690e+002	(-1.55170221103446e+001dB,-9.00012305612058e+001°)
2.75422870333816e+002	(-1.53170206629412e+001dB,-9.00012592246634e+001°)
2.81838293126444e+002	(-1.51170191473234e+001dB,-9.00012885557791e+001°)
2.88403150312659e+002	(-1.49170175602765e+001dB,-9.00013185701045e+001°)
2.95120922666637e+002	(-1.47170158984341e+001dB,-9.00013492835539e+001°)
3.01995172040200e+002	(-1.45170141582712e+001dB,-9.00013807124117e+001°)
