Freq.	V(buff)
1.65958690743755e+003	(-2.05441463118551e+001dB,-9.00139041788009e+001°)
1.69824365246173e+003	(-2.03441000992947e+001dB,-9.00142277380025e+001°)
1.73780082874936e+003	(-2.01440517085325e+001dB,-9.00145588116396e+001°)
1.77827941003891e+003	(-1.99440010368869e+001dB,-9.00148975731557e+001°)
1.81970085860997e+003	(-1.97439479768345e+001dB,-9.00152441999207e+001°)
1.86208713666286e+003	(-1.95438924157818e+001dB,-9.00155988733140e+001°)
1.90546071796323e+003	(-1.93438342358258e+001dB,-9.00159617788094e+001°)
1.94984459975803e+003	(-1.91437733135035e+001dB,-9.00163331060606e+001°)
1.99526231496887e+003	(-1.89437095195300e+001dB,-9.00167130489892e+001°)
2.04173794466952e+003	(-1.87436427185228e+001dB,-9.00171018058730e+001°)
2.08929613085403e+003	(-1.85435727687152e+001dB,-9.00174995794359e+001°)
2.13796208950222e+003	(-1.83434995216540e+001dB,-9.00179065769393e+001°)
2.18776162394954e+003	(-1.81434228218847e+001dB,-9.00183230102746e+001°)
2.23872113856832e+003	(-1.79433425066204e+001dB,-9.00187490960568e+001°)
2.29086765276776e+003	(-1.77432584053961e+001dB,-9.00191850557191e+001°)
2.34422881531991e+003	(-1.75431703397061e+001dB,-9.00196311156095e+001°)
2.39883291901947e+003	(-1.73430781226242e+001dB,-9.00200875070873e+001°)
2.45470891568501e+003	(-1.71429815584065e+001dB,-9.00205544666213e+001°)
2.51188643150956e+003	(-1.69428804420746e+001dB,-9.00210322358887e+001°)
2.57039578276885e+003	(-1.67427745589799e+001dB,-9.00215210618754e+001°)
2.63026799189536e+003	(-1.65426636843467e+001dB,-9.00220211969760e+001°)
2.69153480392690e+003	(-1.63425475827936e+001dB,-9.00225328990956e+001°)
2.75422870333815e+003	(-1.61424260078332e+001dB,-9.00230564317516e+001°)
2.81838293126443e+003	(-1.59422987013466e+001dB,-9.00235920641763e+001°)
2.88403150312659e+003	(-1.57421653930344e+001dB,-9.00241400714192e+001°)
2.95120922666636e+003	(-1.55420257998409e+001dB,-9.00247007344506e+001°)
3.01995172040199e+003	(-1.53418796253511e+001dB,-9.00252743402643e+001°)
3.09029543251357e+003	(-1.51417265591597e+001dB,-9.00258611819805e+001°)
3.16227766016836e+003	(-1.49415662762090e+001dB,-9.00264615589487e+001°)
3.23593656929626e+003	(-1.47413984360969e+001dB,-9.00270757768499e+001°)
3.31131121482589e+003	(-1.45412226823509e+001dB,-9.00277041477979e+001°)
3.38844156139200e+003	(-1.43410386416679e+001dB,-9.00283469904399e+001°)
3.46736850452529e+003	(-1.41408459231184e+001dB,-9.00290046300561e+001°)
3.54813389233573e+003	(-1.39406441173126e+001dB,-9.00296773986570e+001°)
3.63078054770099e+003	(-1.37404327955264e+001dB,-9.00303656350804e+001°)
3.71535229097170e+003	(-1.35402115087868e+001dB,-9.00310696850845e+001°)
3.80189396320558e+003	(-1.33399797869133e+001dB,-9.00317899014397e+001°)
3.89045144994278e+003	(-1.31397371375136e+001dB,-9.00325266440174e+001°)
3.98107170553494e+003	(-1.29394830449316e+001dB,-9.00332802798748e+001°)
4.07380277804110e+003	(-1.27392169691458e+001dB,-9.00340511833370e+001°)
4.16869383470332e+003	(-1.25389383446147e+001dB,-9.00348397360736e+001°)
4.26579518801589e+003	(-1.23386465790669e+001dB,-9.00356463271714e+001°)
4.36515832240162e+003	(-1.21383410522348e+001dB,-9.00364713532015e+001°)
4.46683592150960e+003	(-1.19380211145264e+001dB,-9.00373152182798e+001°)
4.57088189614871e+003	(-1.17376860856347e+001dB,-9.00381783341214e+001°)
4.67735141287194e+003	(-1.15373352530806e+001dB,-9.00390611200873e+001°)
4.78630092322634e+003	(-1.13369678706853e+001dB,-9.00399640032224e+001°)
4.89778819368442e+003	(-1.11365831569714e+001dB,-9.00408874182850e+001°)
5.01187233627268e+003	(-1.09361802934855e+001dB,-9.00418318077653e+001°)
5.12861383991361e+003	(-1.07357584230421e+001dB,-9.00427976218939e+001°)
5.24807460249768e+003	(-1.05353166478826e+001dB,-9.00437853186365e+001°)
5.37031796370248e+003	(-1.03348540277462e+001dB,-9.00447953636769e+001°)
5.49540873857620e+003	(-1.01343695778481e+001dB,-9.00458282303835e+001°)
5.62341325190344e+003	(-9.93386226676098e+000dB,-9.00468843997612e+001°)
5.75439937337152e+003	(-9.73333101419440e+000dB,-9.00479643603845e+001°)
