Freq.	V(clean)
4.89778819368445e+001	(-3.03171545044356e+001dB,-9.00002100682479e+001°)
5.01187233627271e+001	(-3.01171544645897e+001dB,-9.00002149613580e+001°)
5.12861383991364e+001	(-2.99171544228659e+001dB,-9.00002199684428e+001°)
5.24807460249772e+001	(-2.97171543791757e+001dB,-9.00002250921569e+001°)
5.37031796370252e+001	(-2.95171543334265e+001dB,-9.00002303352171e+001°)
5.49540873857624e+001	(-2.93171542855211e+001dB,-9.00002357004030e+001°)
5.62341325190348e+001	(-2.91171542353581e+001dB,-9.00002411905595e+001°)
5.75439937337156e+001	(-2.89171541828309e+001dB,-9.00002468085973e+001°)
5.88843655355588e+001	(-2.87171541278282e+001dB,-9.00002525574952e+001°)
6.02559586074357e+001	(-2.85171540702333e+001dB,-9.00002584403013e+001°)
6.16595001861481e+001	(-2.83171540099241e+001dB,-9.00002644601344e+001°)
6.30957344480192e+001	(-2.81171539467725e+001dB,-9.00002706201865e+001°)
6.45654229034654e+001	(-2.79171538806448e+001dB,-9.00002769237235e+001°)
6.60693448007595e+001	(-2.77171538114005e+001dB,-9.00002833740874e+001°)
6.76082975391980e+001	(-2.75171537388928e+001dB,-9.00002899746984e+001°)
6.91830970918935e+001	(-2.73171536629679e+001dB,-9.00002967290560e+001°)
7.07945784384136e+001	(-2.71171535834649e+001dB,-9.00003036407412e+001°)
7.24435960074988e+001	(-2.69171535002149e+001dB,-9.00003107134188e+001°)
7.41310241300916e+001	(-2.67171534130415e+001dB,-9.00003179508384e+001°)
7.58577575029182e+001	(-2.65171533217598e+001dB,-9.00003253568373e+001°)
7.76247116628690e+001	(-2.63171532261760e+001dB,-9.00003329353421e+001°)
7.94328234724279e+001	(-2.61171531260876e+001dB,-9.00003406903709e+001°)
8.12830516164097e+001	(-2.59171530212821e+001dB,-9.00003486260353e+001°)
8.31763771102669e+001	(-2.57171529115373e+001dB,-9.00003567465426e+001°)
8.51138038202374e+001	(-2.55171527966204e+001dB,-9.00003650561982e+001°)
8.70963589956078e+001	(-2.53171526762876e+001dB,-9.00003735594078e+001°)
8.91250938133743e+001	(-2.51171525502837e+001dB,-9.00003822606797e+001°)
9.12010839355907e+001	(-2.49171524183414e+001dB,-9.00003911646270e+001°)
9.33254300796988e+001	(-2.47171522801808e+001dB,-9.00004002759704e+001°)
9.54992586021433e+001	(-2.45171521355090e+001dB,-9.00004095995406e+001°)
9.77237220955808e+001	(-2.43171519840189e+001dB,-9.00004191402808e+001°)
9.99999999999997e+001	(-2.41171518253894e+001dB,-9.00004289032492e+001°)
1.02329299228075e+002	(-2.39171516592839e+001dB,-9.00004388936218e+001°)
1.04712854805090e+002	(-2.37171514853501e+001dB,-9.00004491166952e+001°)
1.07151930523760e+002	(-2.35171513032190e+001dB,-9.00004595778895e+001°)
1.09647819614318e+002	(-2.33171511125043e+001dB,-9.00004702827507e+001°)
1.12201845430196e+002	(-2.31171509128015e+001dB,-9.00004812369542e+001°)
1.14815362149688e+002	(-2.29171507036871e+001dB,-9.00004924463076e+001°)
1.17489755493953e+002	(-2.27171504847173e+001dB,-9.00005039167535e+001°)
1.20226443461741e+002	(-2.25171502554278e+001dB,-9.00005156543731e+001°)
1.23026877081238e+002	(-2.23171500153323e+001dB,-9.00005276653892e+001°)
1.25892541179416e+002	(-2.21171497639213e+001dB,-9.00005399561694e+001°)
1.28824955169313e+002	(-2.19171495006618e+001dB,-9.00005525332296e+001°)
1.31825673855640e+002	(-2.17171492249951e+001dB,-9.00005654032376e+001°)
1.34896288259165e+002	(-2.15171489363367e+001dB,-9.00005785730163e+001°)
1.38038426460288e+002	(-2.13171486340743e+001dB,-9.00005920495475e+001°)
1.41253754462275e+002	(-2.11171483175666e+001dB,-9.00006058399755e+001°)
1.44543977074592e+002	(-2.09171479861424e+001dB,-9.00006199516113e+001°)
1.47910838816820e+002	(-2.07171476390986e+001dB,-9.00006343919356e+001°)
1.51356124843620e+002	(-2.05171472756991e+001dB,-9.00006491686037e+001°)
1.54881661891248e+002	(-2.03171468951732e+001dB,-9.00006642894490e+001°)
1.58489319246111e+002	(-2.01171464967136e+001dB,-9.00006797624873e+001°)
1.62181009735892e+002	(-1.99171460794751e+001dB,-9.00006955959211e+001°)
1.65958690743755e+002	(-1.97171456425728e+001dB,-9.00007117981437e+001°)
1.69824365246174e+002	(-1.95171451850798e+001dB,-9.00007283777439e+001°)
1.73780082874937e+002	(-1.93171447060259e+001dB,-9.00007453435106e+001°)
1.77827941003892e+002	(-1.91171442043948e+001dB,-9.00007627044372e+001°)
1.81970085860998e+002	(-1.89171436791226e+001dB,-9.00007804697263e+001°)
1.86208713666286e+002	(-1.87171431290949e+001dB,-9.00007986487950e+001°)
1.90546071796324e+002	(-1.85171425531453e+001dB,-9.00008172512796e+001°)
1.94984459975804e+002	(-1.83171419500519e+001dB,-9.00008362870405e+001°)
1.99526231496887e+002	(-1.81171413185356e+001dB,-9.00008557661679e+001°)
2.04173794466952e+002	(-1.79171406572568e+001dB,-9.00008756989867e+001°)
2.08929613085403e+002	(-1.77171399648128e+001dB,-9.00008960960621e+001°)
2.13796208950222e+002	(-1.75171392397349e+001dB,-9.00009169682054e+001°)
2.18776162394954e+002	(-1.73171384804850e+001dB,-9.00009383264794e+001°)
2.23872113856833e+002	(-1.71171376854527e+001dB,-9.00009601822043e+001°)
2.29086765276776e+002	(-1.69171368529516e+001dB,-9.00009825469639e+001°)
2.34422881531991e+002	(-1.67171359812159e+001dB,-9.00010054326115e+001°)
2.39883291901948e+002	(-1.65171350683964e+001dB,-9.00010288512763e+001°)
2.45470891568502e+002	(-1.63171341125570e+001dB,-9.00010528153698e+001°)
2.51188643150957e+002	(-1.61171331116701e+001dB,-9.00010773375920e+001°)
2.57039578276885e+002	(-1.59171320636128e+001dB,-9.00011024309389e+001°)
2.63026799189537e+002	(-1.57171309661619e+001dB,-9.00011281087083e+001°)
2.69153480392690e+002	(-1.55171298169895e+001dB,-9.00011543845079e+001°)
2.75422870333816e+002	(-1.53171286136582e+001dB,-9.00011812722617e+001°)
2.81838293126444e+002	(-1.51171273536154e+001dB,-9.00012087862177e+001°)
