time	V(buff)	V(n009)
9.362357278181086e-003	6.209049e-002	8.411342e-003
9.386771340681086e-003	6.208979e-002	-7.213659e-003
9.411185403181087e-003	6.208926e-002	-2.283866e-002
9.435599465681087e-003	6.208890e-002	-3.846366e-002
9.460013528181087e-003	6.208871e-002	-5.408866e-002
9.484427590681088e-003	6.208870e-002	-6.971366e-002
9.508841653181088e-003	6.208885e-002	-8.533866e-002
9.564645224609661e-003	6.208927e-002	-1.210529e-001
9.620448796038232e-003	6.208959e-002	-1.567672e-001
9.676252367466805e-003	6.208980e-002	-1.924815e-001
9.732055938895376e-003	6.208991e-002	-2.281958e-001
9.787859510323949e-003	6.208991e-002	-2.639101e-001
9.843663081752520e-003	6.208981e-002	-2.996244e-001
9.899466653181093e-003	6.208960e-002	-3.353387e-001
9.990147456752523e-003	6.208958e-002	-3.933744e-001
1.008082826032395e-002	6.208956e-002	-4.514101e-001
1.017150906389538e-002	6.208954e-002	-5.094458e-001
1.026218986746681e-002	6.208953e-002	-5.674815e-001
1.035287067103824e-002	6.208952e-002	-6.255172e-001
1.044355147460967e-002	6.208952e-002	-6.835529e-001
1.053423227818110e-002	6.208952e-002	-7.415887e-001
1.058842565808380e-002	6.208952e-002	-7.762724e-001
1.064261903798650e-002	6.208952e-002	-8.109562e-001
1.069681241788920e-002	6.208951e-002	-8.456399e-001
1.075100579779190e-002	6.208951e-002	-8.803237e-001
1.080519917769460e-002	6.208951e-002	-9.150074e-001
1.085939255759730e-002	6.208951e-002	-9.496912e-001
1.091358593750000e-002	6.208951e-002	-9.843750e-001
1.093800000000000e-002	6.208951e-002	-1.000000e+000
1.093830517840410e-002	6.215650e-002	-9.998047e-001
1.093861035680820e-002	6.186057e-002	-9.996094e-001
1.093891553521231e-002	6.120172e-002	-9.994141e-001
1.093922071361641e-002	6.017995e-002	-9.992187e-001
1.093952589202051e-002	5.879526e-002	-9.990234e-001
1.093983107042461e-002	5.704764e-002	-9.988281e-001
1.094013624882871e-002	5.493711e-002	-9.986328e-001
1.094087548302803e-002	4.880944e-002	-9.981597e-001
1.094159116077444e-002	4.218248e-002	-9.977016e-001
1.094229200173490e-002	3.546196e-002	-9.972531e-001
1.094321639628904e-002	2.685104e-002	-9.966615e-001
1.094406508517220e-002	1.950535e-002	-9.961184e-001
1.094523627930774e-002	1.040996e-002	-9.953688e-001
1.094683047827195e-002	-3.556319e-004	-9.943485e-001
1.094898237418681e-002	-1.250664e-002	-9.929713e-001
1.095155254497118e-002	-2.417188e-002	-9.913264e-001
1.095438156422182e-002	-3.394884e-002	-9.895158e-001
1.095829171416657e-002	-4.360935e-002	-9.870133e-001
1.096308762879852e-002	-5.163683e-002	-9.839439e-001
1.096764005296271e-002	-5.655205e-002	-9.810303e-001
1.097176838043255e-002	-5.938864e-002	-9.783882e-001
1.097564181636508e-002	-6.112216e-002	-9.759092e-001
1.097977596868025e-002	-6.233747e-002	-9.732634e-001
1.098438562419278e-002	-6.321651e-002	-9.703132e-001
1.099648877803859e-002	-6.425887e-002	-9.625672e-001
1.102548890596111e-002	-6.469419e-002	-9.440071e-001
1.105981911391014e-002	-6.470702e-002	-9.220357e-001
1.109414932185917e-002	-6.471696e-002	-9.000644e-001
1.112847952980820e-002	-6.472399e-002	-8.780931e-001
1.116280973775724e-002	-6.472812e-002	-8.561217e-001
1.119713994570627e-002	-6.472935e-002	-8.341504e-001
1.123147015365530e-002	-6.472768e-002	-8.121791e-001
1.126580036160433e-002	-6.472310e-002	-7.902077e-001
1.133555482589004e-002	-6.472310e-002	-7.455649e-001
1.140530929017576e-002	-6.472310e-002	-7.009220e-001
1.147506375446147e-002	-6.472310e-002	-6.562792e-001
1.154481821874719e-002	-6.472309e-002	-6.116363e-001
1.161457268303291e-002	-6.472309e-002	-5.669935e-001
1.168432714731862e-002	-6.472308e-002	-5.223506e-001
1.175408161160433e-002	-6.472307e-002	-4.777078e-001
1.182383607589005e-002	-6.472308e-002	-4.330649e-001
1.189359054017576e-002	-6.472307e-002	-3.884221e-001
1.196334500446148e-002	-6.472304e-002	-3.437792e-001
1.203309946874720e-002	-6.472300e-002	-2.991363e-001
1.210285393303291e-002	-6.472295e-002	-2.544935e-001
1.217260839731863e-002	-6.472288e-002	-2.098506e-001
1.224236286160434e-002	-6.472280e-002	-1.652078e-001
1.227724009374720e-002	-6.472306e-002	-1.428863e-001
1.231211732589006e-002	-6.472331e-002	-1.205649e-001
1.234699455803292e-002	-6.472353e-002	-9.824348e-002
1.238187179017577e-002	-6.472373e-002	-7.592205e-002
1.241674902231863e-002	-6.472391e-002	-5.360062e-002
1.245162625446149e-002	-6.472407e-002	-3.127920e-002
1.248650348660435e-002	-6.472421e-002	-8.957769e-003
1.251091754910435e-002	-6.472350e-002	6.667230e-003
1.253533161160435e-002	-6.472302e-002	2.229223e-002
1.255974567410435e-002	-6.472276e-002	3.791723e-002
1.258415973660435e-002	-6.472273e-002	5.354223e-002
1.260857379910435e-002	-6.472292e-002	6.916723e-002
1.263298786160435e-002	-6.472334e-002	8.479223e-002
1.265740192410435e-002	-6.472399e-002	1.004172e-001
1.271669321874721e-002	-6.472424e-002	1.383637e-001
1.277598451339006e-002	-6.472442e-002	1.763101e-001
1.283527580803292e-002	-6.472454e-002	2.142565e-001
1.289456710267578e-002	-6.472459e-002	2.522029e-001
1.295385839731864e-002	-6.472458e-002	2.901494e-001
1.301314969196150e-002	-6.472450e-002	3.280958e-001
1.307244098660435e-002	-6.472436e-002	3.660422e-001
1.315963406696150e-002	-6.472434e-002	4.218458e-001
1.324682714731864e-002	-6.472432e-002	4.776494e-001
1.333402022767579e-002	-6.472431e-002	5.334530e-001
1.342121330803293e-002	-6.472430e-002	5.892565e-001
1.350840638839007e-002	-6.472430e-002	6.450601e-001
1.359559946874722e-002	-6.472429e-002	7.008637e-001
1.368279254910436e-002	-6.472430e-002	7.566673e-001
1.373710789923231e-002	-6.472429e-002	7.914291e-001
1.379142324936026e-002	-6.472429e-002	8.261909e-001
1.384573859948821e-002	-6.472428e-002	8.609527e-001
1.390005394961616e-002	-6.472428e-002	8.957145e-001
1.395436929974411e-002	-6.472428e-002	9.304764e-001
1.400868464987206e-002	-6.472428e-002	9.652382e-001
1.406300000000001e-002	-6.472429e-002	1.000000e+000
1.406329807956035e-002	-6.479417e-002	9.998092e-001
1.406359615912069e-002	-6.451888e-002	9.996185e-001
1.406389423868103e-002	-6.389842e-002	9.994277e-001
1.406419231824137e-002	-6.293280e-002	9.992369e-001
1.406449039780171e-002	-6.162201e-002	9.990462e-001
1.406478847736205e-002	-5.996605e-002	9.988554e-001
1.406508655692239e-002	-5.796493e-002	9.986646e-001
1.406579452904650e-002	-5.217112e-002	9.982115e-001
1.406663956983423e-002	-4.437670e-002	9.976707e-001
1.406739377544191e-002	-3.716192e-002	9.971880e-001
1.406832548587576e-002	-2.851480e-002	9.965917e-001
1.406916758531515e-002	-2.128106e-002	9.960527e-001
1.407034449792544e-002	-1.224512e-002	9.952995e-001
1.407201818060396e-002	-1.080297e-003	9.942284e-001
1.407407911039277e-002	1.041391e-002	9.929094e-001
1.407664792651792e-002	2.195318e-002	9.912654e-001
1.407936143249019e-002	3.126305e-002	9.895287e-001
1.408341654240680e-002	4.126009e-002	9.869334e-001
1.408786990274555e-002	4.878074e-002	9.840832e-001
1.409227455927166e-002	5.364855e-002	9.812643e-001
1.409594730326075e-002	5.629192e-002	9.789137e-001
1.410018091606785e-002	5.829911e-002	9.762042e-001
1.410411740089292e-002	5.953887e-002	9.736848e-001
1.410883711246439e-002	6.048955e-002	9.706643e-001
1.412050982985907e-002	6.158259e-002	9.631937e-001
1.414861494549035e-002	6.205626e-002	9.452065e-001
1.417618900050606e-002	6.207139e-002	9.275590e-001
1.420376305552178e-002	6.208311e-002	9.099116e-001
1.423133711053749e-002	6.209142e-002	8.922642e-001
1.425891116555320e-002	6.209633e-002	8.746168e-001
1.428648522056892e-002	6.209784e-002	8.569694e-001
1.431405927558463e-002	6.209594e-002	8.393220e-001
1.434163333060034e-002	6.209064e-002	8.216746e-001
1.440092462524320e-002	6.209063e-002	7.837282e-001
1.446021591988606e-002	6.209063e-002	7.457818e-001
1.451950721452892e-002	6.209063e-002	7.078354e-001
1.457879850917177e-002	6.209063e-002	6.698889e-001
1.463808980381463e-002	6.209062e-002	6.319425e-001
1.469738109845749e-002	6.209062e-002	5.939961e-001
1.475667239310035e-002	6.209062e-002	5.560496e-001
1.483340230381463e-002	6.209062e-002	5.069425e-001
1.491013221452892e-002	6.209061e-002	4.578354e-001
1.498686212524321e-002	6.209060e-002	4.087282e-001
1.506359203595749e-002	6.209057e-002	3.596211e-001
1.514032194667178e-002	6.209053e-002	3.105140e-001
1.521705185738607e-002	6.209048e-002	2.614068e-001
1.529378176810035e-002	6.209043e-002	2.122997e-001
1.533563444667178e-002	6.209039e-002	1.855140e-001
1.537748712524321e-002	6.209041e-002	1.587282e-001
1.541933980381464e-002	6.209049e-002	1.319425e-001
1.546119248238607e-002	6.209063e-002	1.051568e-001
1.550304516095750e-002	6.209082e-002	7.837110e-002
1.554489783952893e-002	6.209108e-002	5.158538e-002
1.558675051810036e-002	6.209140e-002	2.479967e-002
1.560767685738607e-002	6.209072e-002	1.140681e-002
1.562860319667178e-002	6.209013e-002	-1.986046e-003
1.564952953595750e-002	6.208963e-002	-1.537890e-002
1.567045587524321e-002	6.208920e-002	-2.877176e-002
1.569138221452893e-002	6.208886e-002	-4.216462e-002
1.571230855381464e-002	6.208860e-002	-5.555748e-002
1.573323489310035e-002	6.208842e-002	-6.895033e-002
1.575764895560035e-002	6.208892e-002	-8.457533e-002
1.578206301810035e-002	6.208932e-002	-1.002003e-001
1.580647708060035e-002	6.208962e-002	-1.158253e-001
1.583089114310035e-002	6.208982e-002	-1.314503e-001
1.585530520560035e-002	6.208992e-002	-1.470753e-001
1.587971926810034e-002	6.208993e-002	-1.627003e-001
1.590413333060034e-002	6.208983e-002	-1.783253e-001
1.592854739310034e-002	6.208979e-002	-1.939503e-001
1.600178958060034e-002	6.208972e-002	-2.408253e-001
1.607503176810033e-002	6.208965e-002	-2.877003e-001
1.614827395560033e-002	6.208960e-002	-3.345753e-001
1.622151614310033e-002	6.208957e-002	-3.814503e-001
1.629475833060032e-002	6.208955e-002	-4.283253e-001
1.636800051810032e-002	6.208954e-002	-4.752003e-001
1.644124270560031e-002	6.208954e-002	-5.220754e-001
1.651448489310031e-002	6.208953e-002	-5.689504e-001
1.658772708060030e-002	6.208953e-002	-6.158254e-001
1.666096926810030e-002	6.208952e-002	-6.627004e-001
1.673421145560030e-002	6.208952e-002	-7.095754e-001
1.680745364310029e-002	6.208952e-002	-7.564504e-001
1.688069583060029e-002	6.208952e-002	-8.033254e-001
1.695393801810028e-002	6.208952e-002	-8.502004e-001
1.698737544408596e-002	6.208951e-002	-8.716003e-001
1.702081287007164e-002	6.208951e-002	-8.930003e-001
1.705425029605731e-002	6.208951e-002	-9.144002e-001
1.708768772204299e-002	6.208951e-002	-9.358002e-001
1.712112514802866e-002	6.208951e-002	-9.572001e-001
1.715456257401434e-002	6.208951e-002	-9.786001e-001
1.718800000000001e-002	6.208951e-002	-1.000000e+000
1.718830506332450e-002	6.215657e-002	-9.998047e-001
1.718861012664898e-002	6.186096e-002	-9.996095e-001
1.718891518997347e-002	6.120269e-002	-9.994143e-001
1.718922025329796e-002	6.018175e-002	-9.992190e-001
1.718952531662244e-002	5.879815e-002	-9.990238e-001
1.718983037994693e-002	5.705187e-002	-9.988285e-001
1.719013544327142e-002	5.494294e-002	-9.986333e-001
1.719087233203872e-002	4.883753e-002	-9.981617e-001
1.719158973700936e-002	4.219570e-002	-9.977025e-001
1.719229124079869e-002	3.546927e-002	-9.972536e-001
1.719321588176331e-002	2.685566e-002	-9.966618e-001
1.719406419556726e-002	1.951264e-002	-9.961189e-001
1.719523498877074e-002	1.041931e-002	-9.953696e-001
1.719682837063050e-002	-3.424105e-004	-9.943498e-001
1.719898035468017e-002	-1.249621e-002	-9.929726e-001
1.720155003442094e-002	-2.416184e-002	-9.913280e-001
1.720437898824842e-002	-3.394133e-002	-9.895175e-001
1.720828658323122e-002	-4.359877e-002	-9.870166e-001
1.721308418598007e-002	-5.163205e-002	-9.839461e-001
1.721763596878518e-002	-5.654855e-002	-9.810330e-001
1.722176677422032e-002	-5.938774e-002	-9.783893e-001
1.722563853873500e-002	-6.112107e-002	-9.759113e-001
1.722977212437593e-002	-6.233654e-002	-9.732658e-001
1.723438324486874e-002	-6.321613e-002	-9.703147e-001
1.724647695130692e-002	-6.425840e-002	-9.625748e-001
1.727544900501886e-002	-6.469409e-002	-9.440326e-001
1.730976729952267e-002	-6.470697e-002	-9.220689e-001
1.734408559402649e-002	-6.471694e-002	-9.001052e-001
1.737840388853030e-002	-6.472399e-002	-8.781415e-001
1.741272218303411e-002	-6.472814e-002	-8.561778e-001
1.744704047753793e-002	-6.472937e-002	-8.342141e-001
1.748135877204175e-002	-6.472769e-002	-8.122504e-001
1.751567706654556e-002	-6.472310e-002	-7.902867e-001
1.758543153083127e-002	-6.472310e-002	-7.456438e-001
1.765518599511698e-002	-6.472310e-002	-7.010009e-001
1.772494045940269e-002	-6.472310e-002	-6.563581e-001
1.779469492368840e-002	-6.472309e-002	-6.117152e-001
1.786444938797411e-002	-6.472309e-002	-5.670724e-001
1.793420385225982e-002	-6.472308e-002	-5.224295e-001
1.800395831654553e-002	-6.472307e-002	-4.777867e-001
1.807371278083124e-002	-6.472308e-002	-4.331438e-001
1.814346724511695e-002	-6.472307e-002	-3.885010e-001
1.821322170940266e-002	-6.472304e-002	-3.438581e-001
1.828297617368838e-002	-6.472300e-002	-2.992153e-001
1.835273063797408e-002	-6.472295e-002	-2.545724e-001
1.842248510225980e-002	-6.472288e-002	-2.099295e-001
1.849223956654551e-002	-6.472280e-002	-1.652867e-001
1.852711679868836e-002	-6.472306e-002	-1.429652e-001
1.856199403083121e-002	-6.472331e-002	-1.206438e-001
1.859687126297407e-002	-6.472353e-002	-9.832239e-002
1.863174849511693e-002	-6.472373e-002	-7.600096e-002
1.866662572725978e-002	-6.472391e-002	-5.367953e-002
1.870150295940264e-002	-6.472407e-002	-3.135810e-002
1.873638019154549e-002	-6.472421e-002	-9.036677e-003
1.876079425404549e-002	-6.472350e-002	6.588322e-003
1.878520831654549e-002	-6.472302e-002	2.221332e-002
1.880962237904549e-002	-6.472276e-002	3.783832e-002
1.883403644154549e-002	-6.472273e-002	5.346332e-002
1.885845050404549e-002	-6.472292e-002	6.908832e-002
1.888286456654548e-002	-6.472334e-002	8.471332e-002
1.890727862904548e-002	-6.472398e-002	1.003383e-001
1.896656992368834e-002	-6.472423e-002	1.382848e-001
1.902586121833119e-002	-6.472442e-002	1.762312e-001
