Freq,ch1p2p,ch2p2p,ch3amp,mathp2p,mathamp,phase1,phase2,zin,phazin
45242.77597,1.042091509,0.59866757,0.220294014,6.65848E-05,2.69531E-05,14.58741735,12.41808817,8173.227195,152.9944945
46506.22021,1.045846794,0.573625266,0.226163304,6.6366E-05,2.55859E-05,14.5681982,12.39391951,8839.359673,153.0378823
47687.05371,1.043969152,0.57127755,0.214033438,6.35645E-05,2.64648E-05,14.79473497,12.57779328,8087.462762,152.6274718
48715.13823,1.051479721,0.57519041,0.225772018,6.61625E-05,2.71484E-05,14.44865038,12.23272766,8316.206711,153.318622
50626.90345,1.045846794,0.56345183,0.208164148,6.69128E-05,2.71484E-05,15.03897574,12.78005125,7667.629065,152.180973
52102.5552,1.042091509,0.556408682,0.231641308,6.43474E-05,2.61719E-05,14.72696114,12.42501299,8850.772367,152.8480259
53006.46016,1.06650086,0.558756398,0.231250022,6.82749E-05,2.57813E-05,14.95844813,12.63568002,8969.697825,152.4058719
53916.14114,1.051479721,0.588494134,0.20894672,6.72571E-05,2.68555E-05,15.04449427,12.70549771,7780.416062,152.250008
54962.98586,1.049602079,0.561886686,0.225380732,6.50034E-05,2.70508E-05,15.0756504,12.72944819,8331.76425,152.1949014
56286.00325,1.045846794,0.565016974,0.215598582,6.78516E-05,2.57813E-05,15.42798084,13.00977564,8362.611678,151.5622435
57059.64516,1.051479721,0.564234402,0.203468717,6.67563E-05,2.69531E-05,15.30944095,12.89318277,7548.984265,151.7973763
58283.37254,1.03458094,0.565016974,0.217946298,6.62873E-05,2.60742E-05,15.17425118,12.78326401,8358.689492,152.0424848
59152.45621,1.055235006,0.572842694,0.22264173,6.40338E-05,2.69531E-05,15.54755159,13.05256005,8260.330859,151.3998884
60127.77151,1.042091509,0.568929834,0.22264173,6.6366E-05,2.62695E-05,15.56791882,13.05012098,8475.283707,151.3819602
61390.88729,1.05899029,0.574407838,0.22459816,6.61465E-05,2.73438E-05,15.43011211,12.92419883,8213.875571,151.6456891
62655.00587,1.036458582,0.583798702,0.22459816,6.63658E-05,2.73438E-05,16.09779057,13.50311493,8213.875571,150.3990945
63897.76358,1.049602079,0.560321542,0.22851102,6.62405E-05,2.65625E-05,15.82320402,13.24913395,8602.767815,150.927662
