Freq.,Vvout
1.18850222743702e+000,-5.71670063173772e-004,-1.80337047536365e-002
1.19124200802737e+000,-5.71670035590263e-004,-1.80752767590739e-002
1.19398810446427e+000,-5.71670007884276e-004,-1.81169445980376e-002
1.19674053130724e+000,-5.71669980038452e-004,-1.81587084914475e-002
1.19949930314938e+000,-5.71669952079794e-004,-1.82005686607333e-002
1.20226443461741e+000,-5.71669923992872e-004,-1.82425253278349e-002
1.20503594037179e+000,-5.71669895768043e-004,-1.82845787152039e-002
1.20781383510678e+000,-5.71669867413021e-004,-1.83267290458046e-002
1.21059813355048e+000,-5.71669838938414e-004,-1.83689765431152e-002
1.21338885046497e+000,-5.71669810319148e-004,-1.84113214311296e-002
1.21618600064636e+000,-5.71669781564868e-004,-1.84537639343572e-002
1.21898959892486e+000,-5.71669752678466e-004,-1.84963042778260e-002
1.22179966016487e+000,-5.71669723663801e-004,-1.85389426870818e-002
1.22461619926504e+000,-5.71669694518942e-004,-1.85816793881910e-002
1.22743923115840e+000,-5.71669665238105e-004,-1.86245146077406e-002
1.23026877081238e+000,-5.71669635826110e-004,-1.86674485728405e-002
1.23310483322890e+000,-5.71669606278136e-004,-1.87104815111237e-002
1.23594743344451e+000,-5.71669576582610e-004,-1.87536136507482e-002
1.23879658653036e+000,-5.71669546755927e-004,-1.87968452203980e-002
1.24165230759241e+000,-5.71669516791336e-004,-1.88401764492842e-002
1.24451461177138e+000,-5.71669486683051e-004,-1.88836075671464e-002
1.24738351424294e+000,-5.71669456434930e-004,-1.89271388042533e-002
1.25025903021771e+000,-5.71669426066259e-004,-1.89707703914049e-002
1.25314117494141e+000,-5.71669395537500e-004,-1.90145025599335e-002
1.25602996369487e+000,-5.71669364882405e-004,-1.90583355417043e-002
1.25892541179416e+000,-5.71669334070114e-004,-1.91022695691169e-002
1.26182753459066e+000,-5.71669303127631e-004,-1.91463048751068e-002
1.26473634747115e+000,-5.71669272045311e-004,-1.91904416931470e-002
1.26765186585784e+000,-5.71669240807725e-004,-1.92346802572477e-002
1.27057410520854e+000,-5.71669209425479e-004,-1.92790208019592e-002
1.27350308101666e+000,-5.71669177905326e-004,-1.93234635623725e-002
1.27643880881134e+000,-5.71669146233763e-004,-1.93680087741204e-002
1.27938130415752e+000,-5.71669114432972e-004,-1.94126566733789e-002
1.28233058265602e+000,-5.71669082477878e-004,-1.94574074968688e-002
1.28528665994361e+000,-5.71669050369446e-004,-1.95022614818555e-002
1.28824955169313e+000,-5.71669018106712e-004,-1.95472188661533e-002
1.29121927361353e+000,-5.71668985700283e-004,-1.95922798881226e-002
1.29419584144998e+000,-5.71668953147267e-004,-1.96374447866748e-002
1.29717927098395e+000,-5.71668920437055e-004,-1.96827138012713e-002
1.30016957803328e+000,-5.71668887590865e-004,-1.97280871719258e-002
1.30316677845229e+000,-5.71668854574941e-004,-1.97735651392055e-002
1.30617088813183e+000,-5.71668821418216e-004,-1.98191479442317e-002
1.30918192299940e+000,-5.71668788108153e-004,-1.98648358286819e-002
1.31219989901920e+000,-5.71668754641859e-004,-1.99106290347905e-002
1.31522483219223e+000,-5.71668721024155e-004,-1.99565278053504e-002
1.31825673855640e+000,-5.71668687245398e-004,-2.00025323837146e-002
1.32129563418657e+000,-5.71668653311374e-004,-2.00486430137960e-002
1.32434153519466e+000,-5.71668619222083e-004,-2.00948599400713e-002
1.32739445772973e+000,-5.71668584987170e-004,-2.01411834075796e-002
1.33045441797808e+000,-5.71668550580594e-004,-2.01876136619255e-002
1.33352143216332e+000,-5.71668516015859e-004,-2.02341509492793e-002
1.33659551654643e+000,-5.71668481294892e-004,-2.02807955163795e-002
1.33967668742593e+000,-5.71668446406121e-004,-2.03275476105326e-002
1.34276496113786e+000,-5.71668411366905e-004,-2.03744074796156e-002
1.34586035405594e+000,-5.71668376156027e-004,-2.04213753720773e-002
1.34896288259164e+000,-5.71668340783132e-004,-2.04684515369384e-002
1.35207256319427e+000,-5.71668305257863e-004,-2.05156362237944e-002
1.35518941235103e+000,-5.71668269563826e-004,-2.05629296828159e-002
1.35831344658715e+000,-5.71668233699091e-004,-2.06103321647500e-002
1.36144468246594e+000,-5.71668197681019e-004,-2.06578439209223e-002
1.36458313658892e+000,-5.71668161484534e-004,-2.07054652032373e-002
1.36772882559584e+000,-5.71668125131817e-004,-2.07531962641808e-002
1.37088176616484e+000,-5.71668088601653e-004,-2.08010373568199e-002
1.37404197501251e+000,-5.71668051901756e-004,-2.08489887348059e-002
1.37720946889394e+000,-5.71668015045628e-004,-2.08970506523743e-002
1.38038426460288e+000,-5.71667978011087e-004,-2.09452233643466e-002
1.38356637897177e+000,-5.71667940805849e-004,-2.09935071261320e-002
1.38675582887188e+000,-5.71667903427021e-004,-2.10419021937287e-002
1.38995263121334e+000,-5.71667865881353e-004,-2.10904088237247e-002
1.39315680294529e+000,-5.71667828153415e-004,-2.11390272732994e-002
1.39636836105593e+000,-5.71667790257673e-004,-2.11877578002253e-002
1.39958732257261e+000,-5.71667752185447e-004,-2.12366006628695e-002
1.40281370456195e+000,-5.71667713933845e-004,-2.12855561201940e-002
1.40604752412990e+000,-5.71667675514439e-004,-2.13346244317579e-002
1.40928879842186e+000,-5.71667636909870e-004,-2.13838058577194e-002
1.41253754462274e+000,-5.71667598129782e-004,-2.14331006588356e-002
1.41579377995707e+000,-5.71667559172245e-004,-2.14825090964648e-002
1.41905752168908e+000,-5.71667520035332e-004,-2.15320314325684e-002
1.42232878712281e+000,-5.71667480716150e-004,-2.15816679297112e-002
1.42560759360218e+000,-5.71667441211804e-004,-2.16314188510633e-002
1.42889395851109e+000,-5.71667401529045e-004,-2.16812844604016e-002
1.43218789927353e+000,-5.71667361660160e-004,-2.17312650221110e-002
1.43548943335364e+000,-5.71667321614790e-004,-2.17813608011865e-002
1.43879857825583e+000,-5.71667281376543e-004,-2.18315720632327e-002
1.44211535152486e+000,-5.71667240951204e-004,-2.18818990744678e-002
1.44543977074592e+000,-5.71667200350345e-004,-2.19323421017228e-002
1.44877185354475e+000,-5.71667159549858e-004,-2.19829014124443e-002
1.45211161758773e+000,-5.71667118569994e-004,-2.20335772746951e-002
1.45545908058195e+000,-5.71667077394358e-004,-2.20843699571567e-002
1.45881426027534e+000,-5.71667036030667e-004,-2.21352797291289e-002
1.46217717445671e+000,-5.71666994476990e-004,-2.21863068605332e-002
1.46554784095590e+000,-5.71666952738151e-004,-2.22374516219128e-002
1.46892627764385e+000,-5.71666910799682e-004,-2.22887142844350e-002
1.47231250243271e+000,-5.71666868671228e-004,-2.23400951198919e-002
1.47570653327588e+000,-5.71666826337359e-004,-2.23915944007024e-002
1.47910838816819e+000,-5.71666783817363e-004,-2.24432123999132e-002
1.48251808514594e+000,-5.71666741111239e-004,-2.24949493912006e-002
1.48593564228699e+000,-5.71666698191985e-004,-2.25468056488716e-002
1.48936107771090e+000,-5.71666655084674e-004,-2.25987814478657e-002
1.49279440957898e+000,-5.71666611760376e-004,-2.26508770637565e-002
1.49623565609442e+000,-5.71666568245128e-004,-2.27030927727523e-002
1.49968483550236e+000,-5.71666524537002e-004,-2.27554288516985e-002
1.50314196609001e+000,-5.71666480619603e-004,-2.28078855780788e-002
1.50660706618673e+000,-5.71666436503540e-004,-2.28604632300163e-002
1.51008015416413e+000,-5.71666392190741e-004,-2.29131620862752e-002
1.51356124843619e+000,-5.71666347657096e-004,-2.29659824262627e-002
1.51705036745932e+000,-5.71666302922858e-004,-2.30189245300298e-002
1.52054752973248e+000,-5.71666257990920e-004,-2.30719886782734e-002
1.52405275379728e+000,-5.71666212846816e-004,-2.31251751523373e-002
1.52756605823806e+000,-5.71666167496332e-004,-2.31784842342138e-002
1.53108746168202e+000,-5.71666121931754e-004,-2.32319162065454e-002
1.53461698279928e+000,-5.71666076160795e-004,-2.32854713526261e-002
1.53815464030302e+000,-5.71666030171885e-004,-2.33391499564030e-002
1.54170045294954e+000,-5.71665983976594e-004,-2.33929523024779e-002
1.54525443953840e+000,-5.71665937568174e-004,-2.34468786761086e-002
1.54881661891247e+000,-5.71665890951445e-004,-2.35009293632103e-002
1.55238700995807e+000,-5.71665844109048e-004,-2.35551046503578e-002
1.55596563160506e+000,-5.71665797054486e-004,-2.36094048247861e-002
1.55955250282694e+000,-5.71665749774256e-004,-2.36638301743922e-002
1.56314764264094e+000,-5.71665702288610e-004,-2.37183809877377e-002
1.56675107010813e+000,-5.71665654572475e-004,-2.37730575540484e-002
1.57036280433354e+000,-5.71665606648997e-004,-2.38278601632175e-002
1.57398286446620e+000,-5.71665558493100e-004,-2.38827891058060e-002
1.57761126969933e+000,-5.71665510128894e-004,-2.39378446730455e-002
1.58124803927037e+000,-5.71665461530342e-004,-2.39930271568379e-002
1.58489319246110e+000,-5.71665412709015e-004,-2.40483368497588e-002
1.58854674859776e+000,-5.71665363663950e-004,-2.41037740450582e-002
1.59220872705115e+000,-5.71665314390323e-004,-2.41593390366617e-002
1.59587914723672e+000,-5.71665264891994e-004,-2.42150321191730e-002
1.59955802861465e+000,-5.71665215155460e-004,-2.42708535878746e-002
1.60324539069002e+000,-5.71665165199046e-004,-2.43268037387300e-002
1.60694125301286e+000,-5.71665115002497e-004,-2.43828828683847e-002
1.61064563517825e+000,-5.71665064590890e-004,-2.44390912741683e-002
1.61435855682647e+000,-5.71665013933363e-004,-2.44954292540956e-002
1.61808003764305e+000,-5.71664963049204e-004,-2.45518971068683e-002
1.62181009735891e+000,-5.71664911926840e-004,-2.46084951318773e-002
1.62554875575047e+000,-5.71664860571094e-004,-2.46652236292034e-002
1.62929603263970e+000,-5.71664808979072e-004,-2.47220828996189e-002
1.63305194789432e+000,-5.71664757144024e-004,-2.47790732445895e-002
1.63681652142779e+000,-5.71664705080415e-004,-2.48361949662760e-002
1.64058977319952e+000,-5.71664652751598e-004,-2.48934483675360e-002
1.64437172321491e+000,-5.71664600209651e-004,-2.49508337519253e-002
1.64816239152549e+000,-5.71664547412141e-004,-2.50083514236988e-002
1.65196179822900e+000,-5.71664494374497e-004,-2.50660016878135e-002
1.65576996346951e+000,-5.71664441084182e-004,-2.51237848499293e-002
1.65958690743754e+000,-5.71664387548913e-004,-2.51817012164103e-002
