time,Vvout
2.758332793734742e-003,4.996302e-001
2.779387488884250e-003,4.993579e-001
2.808243359096980e-003,4.991193e-001
2.843278766070640e-003,4.990454e-001
2.887392648097436e-003,4.992144e-001
2.912754901146976e-003,4.994235e-001
2.932598919643269e-003,4.996372e-001
2.950615959299931e-003,4.998425e-001
2.969341015573248e-003,5.000498e-001
2.988307323150467e-003,5.002388e-001
3.009721647074651e-003,5.004086e-001
3.038772012700804e-003,5.005505e-001
3.074533631421568e-003,5.005898e-001
3.112333094662477e-003,5.004957e-001
3.135723127659959e-003,5.003747e-001
3.155587994335637e-003,5.002416e-001
3.173974586586541e-003,5.001094e-001
3.192674016462382e-003,4.999768e-001
3.211658393835367e-003,4.998538e-001
3.232489713597397e-003,4.997437e-001
3.261244090213952e-003,4.996444e-001
3.295780066999488e-003,4.996145e-001
3.348887718809106e-003,4.997019e-001
3.377430208805171e-003,4.998004e-001
3.396713003913966e-003,4.998862e-001
3.414858739836741e-003,4.999688e-001
3.436157957700943e-003,5.000594e-001
3.455369496039024e-003,5.001285e-001
3.481631954886348e-003,5.001956e-001
3.512482316859281e-003,5.002287e-001
3.557620838370420e-003,5.002092e-001
3.580731954112300e-003,5.001706e-001
3.602299938802049e-003,5.001163e-001
3.621927663737107e-003,5.000607e-001
3.640522489252643e-003,5.000069e-001
3.659924379485221e-003,4.999537e-001
3.679296095345481e-003,4.999083e-001
3.706384824922634e-003,4.998623e-001
3.738185932415374e-003,4.998383e-001
3.783221067965880e-003,4.998481e-001
3.806901648273533e-003,4.998725e-001
3.830420929528429e-003,4.999098e-001
3.852054441274038e-003,4.999487e-001
3.870946765644691e-003,4.999831e-001
3.890233713207503e-003,5.000161e-001
3.909653624710861e-003,5.000445e-001
3.933096200294171e-003,5.000694e-001
3.963887121862721e-003,5.000849e-001
4.004603525217573e-003,5.000816e-001
4.029216585995897e-003,5.000671e-001
4.069474673233950e-003,5.000259e-001
4.107759374880519e-003,4.999821e-001
4.127350527469322e-003,4.999626e-001
4.153925669304099e-003,4.999425e-001
4.185306414471820e-003,4.999299e-001
4.227560397410512e-003,4.999297e-001
4.254228111898441e-003,4.999388e-001
4.302947523285601e-003,4.999703e-001
4.343533887526912e-003,4.999991e-001
4.384144225956436e-003,5.000203e-001
4.411456494266995e-003,5.000271e-001
4.446429266622578e-003,5.000280e-001
4.495928480581220e-003,5.000157e-001
4.556231346800175e-003,4.999888e-001
4.606854853977228e-003,4.999709e-001
4.640788577334613e-003,4.999655e-001
4.684740951365079e-003,4.999658e-001
4.766107832870475e-003,4.999841e-001
4.837193061181301e-003,5.000014e-001
4.885080987422096e-003,5.000051e-001
4.969113466174016e-003,4.999966e-001
4.992876187829253e-003,4.999923e-001
5.019672980020529e-003,4.999872e-001
