Freq.	V(vo)
1.01859138805411e+002	(-2.01454898373052e-003dB,-1.25833394482600e+000°)
1.01882595439312e+002	(-2.01547676741347e-003dB,-1.25862364838852e+000°)
1.01906057474924e+002	(-2.01640497830271e-003dB,-1.25891341861577e+000°)
1.01929524913492e+002	(-2.01733361659999e-003dB,-1.25920325552306e+000°)
1.01952997756260e+002	(-2.01826268249738e-003dB,-1.25949315912571e+000°)
1.01976476004471e+002	(-2.01919217619082e-003dB,-1.25978312943906e+000°)
1.01999959659371e+002	(-2.02012209788108e-003dB,-1.26007316647842e+000°)
1.02023448722206e+002	(-2.02105244775735e-003dB,-1.26036327025913e+000°)
1.02046943194219e+002	(-2.02198322602907e-003dB,-1.26065344079652e+000°)
1.02070443076658e+002	(-2.02291443288639e-003dB,-1.26094367810594e+000°)
1.02093948370767e+002	(-2.02384606852334e-003dB,-1.26123398220272e+000°)
1.02117459077794e+002	(-2.02477813314260e-003dB,-1.26152435310221e+000°)
1.02140975198984e+002	(-2.02571062693529e-003dB,-1.26181479081976e+000°)
1.02164496735585e+002	(-2.02664355011086e-003dB,-1.26210529537073e+000°)
1.02188023688843e+002	(-2.02757690285368e-003dB,-1.26239586677046e+000°)
1.02211556060006e+002	(-2.02851068536933e-003dB,-1.26268650503432e+000°)
1.02235093850322e+002	(-2.02944489785183e-003dB,-1.26297721017767e+000°)
1.02258637061039e+002	(-2.03037954050388e-003dB,-1.26326798221588e+000°)
1.02282185693404e+002	(-2.03131461351948e-003dB,-1.26355882116432e+000°)
1.02305739748666e+002	(-2.03225011709651e-003dB,-1.26384972703836e+000°)
1.02329299228075e+002	(-2.03318605143671e-003dB,-1.26414069985338e+000°)
1.02352864132878e+002	(-2.03412241673697e-003dB,-1.26443173962475e+000°)
1.02376434464327e+002	(-2.03505921319132e-003dB,-1.26472284636788e+000°)
1.02400010223669e+002	(-2.03599644100052e-003dB,-1.26501402009813e+000°)
1.02423591412156e+002	(-2.03693410036919e-003dB,-1.26530526083091e+000°)
1.02447178031037e+002	(-2.03787219148846e-003dB,-1.26559656858161e+000°)
1.02470770081564e+002	(-2.03881071456198e-003dB,-1.26588794336562e+000°)
1.02494367564986e+002	(-2.03974966978282e-003dB,-1.26617938519835e+000°)
1.02517970482555e+002	(-2.04068905735269e-003dB,-1.26647089409521e+000°)
1.02541578835522e+002	(-2.04162887747720e-003dB,-1.26676247007160e+000°)
1.02565192625140e+002	(-2.04256913034552e-003dB,-1.26705411314293e+000°)
1.02588811852659e+002	(-2.04350981615651e-003dB,-1.26734582332463e+000°)
1.02612436519333e+002	(-2.04445093512058e-003dB,-1.26763760063210e+000°)
1.02636066626414e+002	(-2.04539248742691e-003dB,-1.26792944508078e+000°)
1.02659702175154e+002	(-2.04633447328111e-003dB,-1.26822135668609e+000°)
1.02683343166808e+002	(-2.04727689287525e-003dB,-1.26851333546346e+000°)
1.02706989602627e+002	(-2.04821974641590e-003dB,-1.26880538142833e+000°)
