Freq.	V(vo)/V(Vi)
6.60693448007594e+000	(-7.82877695739800e-001dB,1.61518286282958e+002°)
6.76082975391980e+000	(-8.17112862206385e-001dB,1.61146515459409e+002°)
6.91830970918935e+000	(-8.52732986377960e-001dB,1.60769774199557e+002°)
7.07945784384136e+000	(-8.89784893832181e-001dB,1.60388157237322e+002°)
7.24435960074988e+000	(-9.28316279277194e-001dB,1.60001771387041e+002°)
7.41310241300916e+000	(-9.68375668724124e-001dB,1.59610736084195e+002°)
7.58577575029182e+000	(-1.01001237734213e+000dB,1.59215183926645e+002°)
7.76247116628690e+000	(-1.05327646295622e+000dB,1.58815261214482e+002°)
7.94328234724279e+000	(-1.09821867517894e+000dB,1.58411128486540e+002°)
8.12830516164097e+000	(-1.14489040020186e+000dB,1.58002961051582e+002°)
8.31763771102669e+000	(-1.19334360130896e+000dB,1.57590949512141e+002°)
8.51138038202374e+000	(-1.24363075521369e+000dB,1.57175300279023e+002°)
8.70963589956078e+000	(-1.29580478436359e+000dB,1.56756236074523e+002°)
8.91250938133743e+000	(-1.34991898539845e+000dB,1.56333996422471e+002°)
9.12010839355907e+000	(-1.40602695399360e+000dB,1.55908838123380e+002°)
9.33254300796988e+000	(-1.46418250636429e+000dB,1.55481035713110e+002°)
9.54992586021433e+000	(-1.52443959775175e+000dB,1.55050881903694e+002°)
9.77237220955808e+000	(-1.58685223825623e+000dB,1.54618688005236e+002°)
9.99999999999997e+000	(-1.65147440642278e+000dB,1.54184784328116e+002°)
1.02329299228075e+001	(-1.71835996102598e+000dB,1.53749520565109e+002°)
1.04712854805090e+001	(-1.78756255153315e+000dB,1.53313266153483e+002°)
1.07151930523760e+001	(-1.85913552775658e+000dB,1.52876410617596e+002°)
1.09647819614318e+001	(-1.93313184922709e+000dB,1.52439363893114e+002°)
1.12201845430196e+001	(-2.00960399483756e+000dB,1.52002556634549e+002°)
1.14815362149688e+001	(-2.08860387331049e+000dB,1.51566440508499e+002°)
1.17489755493953e+001	(-2.17018273503951e+000dB,1.51131488475692e+002°)
1.20226443461741e+001	(-2.25439108583818e+000dB,1.50698195065720e+002°)
1.23026877081238e+001	(-2.34127860309955e+000dB,1.50267076649154e+002°)
1.25892541179416e+001	(-2.43089405482528e+000dB,1.49838671712607e+002°)
1.28824955169313e+001	(-2.52328522192208e+000dB,1.49413541143228e+002°)
1.31825673855640e+001	(-2.61849882408434e+000dB,1.48992268530004e+002°)
1.34896288259165e+001	(-2.71658044948407e+000dB,1.48575460490258e+002°)
1.38038426460288e+001	(-2.81757448837029e+000dB,1.48163747030665e+002°)
1.41253754462275e+001	(-2.92152407053930e+000dB,1.47757781953113e+002°)
1.44543977074592e+001	(-3.02847100647232e+000dB,1.47358243316738e+002°)
1.47910838816820e+001	(-3.13845573174655e+000dB,1.46965833968411e+002°)
1.51356124843620e+001	(-3.25151725410770e+000dB,1.46581282154970e+002°)
1.54881661891248e+001	(-3.36769310234429e+000dB,1.46205342231399e+002°)
1.58489319246111e+001	(-3.48701927582379e+000dB,1.45838795480094e+002°)
1.62181009735892e+001	(-3.60953019323536e+000dB,1.45482451057230e+002°)
1.65958690743755e+001	(-3.73525863873017e+000dB,1.45137147083030e+002°)
1.69824365246174e+001	(-3.86423570325288e+000dB,1.44803751893532e+002°)
1.73780082874937e+001	(-3.99649071841381e+000dB,1.44483165472069e+002°)
1.77827941003892e+001	(-4.13205117975233e+000dB,1.44176321079244e+002°)
1.81970085860998e+001	(-4.27094265568450e+000dB,1.43884187100600e+002°)
1.86208713666286e+001	(-4.41318867779964e+000dB,1.43607769131418e+002°)
1.90546071796324e+001	(-4.55881060746656e+000dB,1.43348112318097e+002°)
1.94984459975804e+001	(-4.70782747291605e+000dB,1.43106303975310e+002°)
1.99526231496887e+001	(-4.86025577007165e+000dB,1.42883476497504e+002°)
2.04173794466952e+001	(-5.01610921939131e+000dB,1.42680810582234e+002°)
2.08929613085403e+001	(-5.17539846984244e+000dB,1.42499538781136e+002°)
2.13796208950222e+001	(-5.33813073984611e+000dB,1.42340949391903e+002°)
2.18776162394954e+001	(-5.50430938357414e+000dB,1.42206390701222e+002°)
2.23872113856833e+001	(-5.67393336934884e+000dB,1.42097275583937e+002°)
2.29086765276776e+001	(-5.84699665506003e+000dB,1.42015086457488e+002°)
2.34422881531991e+001	(-6.02348744346432e+000dB,1.41961380582368e+002°)
2.39883291901948e+001	(-6.20338729795553e+000dB,1.41937795688533e+002°)
2.45470891568502e+001	(-6.38667009688892e+000dB,1.41946055893711e+002°)
2.51188643150957e+001	(-6.57330080181584e+000dB,1.41987977861471e+002°)
2.57039578276885e+001	(-6.76323401206373e+000dB,1.42065477124005e+002°)
2.63026799189537e+001	(-6.95641227503513e+000dB,1.42180574465360e+002°)
2.69153480392690e+001	(-7.15276411848706e+000dB,1.42335402224298e+002°)
2.75422870333815e+001	(-7.35220176803390e+000dB,1.42532210330145e+002°)
2.81838293126444e+001	(-7.55461851040810e+000dB,1.42773371828347e+002°)
2.88403150312659e+001	(-7.75988566092549e+000dB,1.43061387582775e+002°)
2.95120922666637e+001	(-7.96784909257649e+000dB,1.43398889757140e+002°)
3.01995172040200e+001	(-8.17832528480422e+000dB,1.43788643575914e+002°)
3.09029543251358e+001	(-8.39109685314923e+000dB,1.44233546744218e+002°)
3.16227766016837e+001	(-8.60590752760456e+000dB,1.44736625764852e+002°)
3.23593656929627e+001	(-8.82245655910367e+000dB,1.45301028229046e+002°)
3.31131121482590e+001	(-9.04039255176711e+000dB,1.45930009977478e+002°)
3.38844156139201e+001	(-9.25930674542630e+000dB,1.46626915834794e+002°)
3.46736850452530e+001	(-9.47872581091424e+000dB,1.47395152423768e+002°)
3.54813389233574e+001	(-9.69810427226958e+000dB,1.48238151380638e+002°)
3.63078054770100e+001	(-9.91681673793474e+000dB,1.49159321145632e+002°)
3.71535229097171e+001	(-1.01341502093988e+001dB,1.50161985428088e+002°)
3.80189396320559e+001	(-1.03492968416171e+001dB,1.51249306492342e+002°)
3.89045144994279e+001	(-1.05613476539462e+001dB,1.52424191641363e+002°)
3.98107170553495e+001	(-1.07692878289469e+001dB,1.53689181764879e+002°)
4.07380277804111e+001	(-1.09719943799892e+001dB,1.55046321650006e+002°)
4.16869383470333e+001	(-1.11682371013708e+001dB,1.56497013003857e+002°)
4.26579518801591e+001	(-1.13566838130018e+001dB,1.58041852865814e+002°)
4.36515832240164e+001	(-1.15359109438415e+001dB,1.59680462298791e+002°)
4.46683592150961e+001	(-1.17044204259673e+001dB,1.61411312866529e+002°)
4.57088189614873e+001	(-1.18606636543879e+001dB,1.63231561230147e+002°)
4.67735141287196e+001	(-1.20030728731334e+001dB,1.65136904886774e+002°)
4.78630092322636e+001	(-1.21300997612033e+001dB,1.67121474132722e+002°)
4.89778819368444e+001	(-1.22402602309057e+001dB,1.69177776163749e+002°)
5.01187233627270e+001	(-1.23321835791977e+001dB,1.71296706221374e+002°)
5.12861383991362e+001	(-1.24046632624093e+001dB,1.73467637404178e+002°)
5.24807460249770e+001	(-1.24567058489488e+001dB,1.75678595071068e+002°)
5.37031796370250e+001	(-1.24875743099346e+001dB,1.77916514047457e+002°)
5.49540873857622e+001	(-1.24968218741353e+001dB,-1.79832431967620e+002°)
5.62341325190346e+001	(-1.24843132694027e+001dB,-1.77582447933561e+002°)
5.75439937337154e+001	(-1.24502312610124e+001dB,-1.75347707802366e+002°)
5.88843655355586e+001	(-1.23950678293573e+001dB,-1.73141947099846e+002°)
6.02559586074355e+001	(-1.23196008726699e+001dB,-1.70978086899527e+002°)
6.16595001861479e+001	(-1.22248587142277e+001dB,-1.68867914216964e+002°)
6.30957344480190e+001	(-1.21120757147849e+001dB,-1.66821836762892e+002°)
6.45654229034652e+001	(-1.19826428069517e+001dB,-1.64848721316192e+002°)
6.60693448007593e+001	(-1.18380567589676e+001dB,-1.62955816250279e+002°)
6.76082975391978e+001	(-1.16798715224214e+001dB,-1.61148751288026e+002°)
6.91830970918933e+001	(-1.15096542688398e+001dB,-1.59431602217733e+002°)
7.07945784384134e+001	(-1.13289478406228e+001dB,-1.57807005373190e+002°)
7.24435960074986e+001	(-1.11392404805071e+001dB,-1.56276305986759e+002°)
7.41310241300914e+001	(-1.09419429659710e+001dB,-1.54839725578860e+002°)
7.58577575029180e+001	(-1.07383727166767e+001dB,-1.53496535737689e+002°)
7.76247116628688e+001	(-1.05297440766752e+001dB,-1.52245228381239e+002°)
7.94328234724277e+001	(-1.03171637803966e+001dB,-1.51083675406715e+002°)
8.12830516164095e+001	(-1.01016305573873e+001dB,-1.50009273198614e+002°)
8.31763771102667e+001	(-9.88403787513201e+000dB,-1.49019069608320e+002°)
8.51138038202372e+001	(-9.66517892463272e+000dB,-1.48109872672783e+002°)
8.70963589956076e+001	(-9.44575308912000e+000dB,-1.47278341523924e+002°)
8.91250938133741e+001	(-9.22637327993642e+000dB,-1.46521060715153e+002°)
9.12010839355905e+001	(-9.00757366056481e+000dB,-1.45834599637203e+002°)
9.33254300796986e+001	(-8.78981740158058e+000dB,-1.45215558894146e+002°)
9.54992586021431e+001	(-8.57350421226245e+000dB,-1.44660605535393e+002°)
9.77237220955805e+001	(-8.35897747809743e+000dB,-1.44166498951194e+002°)
9.99999999999995e+001	(-8.14653089875533e+000dB,-1.43730109084060e+002°)
1.02329299228075e+002	(-7.93641457054324e+000dB,-1.43348428420722e+002°)
1.04712854805089e+002	(-7.72884049349846e+000dB,-1.43018579031899e+002°)
1.07151930523760e+002	(-7.52398750872255e+000dB,-1.42737815735278e+002°)
1.09647819614318e+002	(-7.32200568864633e+000dB,-1.42503526279688e+002°)
1.12201845430196e+002	(-7.12302021365719e+000dB,-1.42313229289763e+002°)
1.14815362149688e+002	(-6.92713477457349e+000dB,-1.42164570572256e+002°)
1.17489755493952e+002	(-6.73443454313598e+000dB,-1.42055318267120e+002°)
1.20226443461741e+002	(-6.54498875303046e+000dB,-1.41983357227272e+002°)
1.23026877081237e+002	(-6.35885293273716e+000dB,-1.41946682928625e+002°)
1.25892541179416e+002	(-6.17607082929664e+000dB,-1.41943395144431e+002°)
1.28824955169313e+002	(-5.99667605931047e+000dB,-1.41971691563020e+002°)
1.31825673855640e+002	(-5.82069352044953e+000dB,-1.42029861483765e+002°)
1.34896288259165e+002	(-5.64814059363218e+000dB,-1.42116279690696e+002°)
1.38038426460288e+002	(-5.47902816298782e+000dB,-1.42229400575032e+002°)
1.41253754462275e+002	(-5.31336147782756e+000dB,-1.42367752555753e+002°)
1.44543977074592e+002	(-5.15114087814902e+000dB,-1.42529932829937e+002°)
1.47910838816820e+002	(-4.99236240273021e+000dB,-1.42714602471142e+002°)
1.51356124843620e+002	(-4.83701829662629e+000dB,-1.42920481883669e+002°)
1.54881661891247e+002	(-4.68509743286577e+000dB,-1.43146346612627e+002°)
1.58489319246110e+002	(-4.53658566133922e+000dB,-1.43391023503737e+002°)
1.62181009735892e+002	(-4.39146609626794e+000dB,-1.43653387202331e+002°)
1.65958690743755e+002	(-4.24971935221379e+000dB,-1.43932356977766e+002°)
