Freq.	V(Vo,Vi)
1.86208713666287e+000	(6.02056170693241e+000dB,1.79999968768588e+002°)
1.90546071796325e+000	(6.02056170696754e+000dB,1.79999968041109e+002°)
1.94984459975804e+000	(6.02056170700434e+000dB,1.79999967296685e+002°)
1.99526231496888e+000	(6.02056170704285e+000dB,1.79999966534920e+002°)
2.04173794466953e+000	(6.02056170708318e+000dB,1.79999965755411e+002°)
2.08929613085404e+000	(6.02056170712541e+000dB,1.79999964957744e+002°)
2.13796208950223e+000	(6.02056170716963e+000dB,1.79999964141496e+002°)
2.18776162394955e+000	(6.02056170721593e+000dB,1.79999963306236e+002°)
2.23872113856834e+000	(6.02056170726440e+000dB,1.79999962451518e+002°)
2.29086765276777e+000	(6.02056170731516e+000dB,1.79999961576892e+002°)
2.34422881531992e+000	(6.02056170736830e+000dB,1.79999960681891e+002°)
2.39883291901949e+000	(6.02056170742395e+000dB,1.79999959766043e+002°)
2.45470891568503e+000	(6.02056170748221e+000dB,1.79999958828861e+002°)
2.51188643150958e+000	(6.02056170754321e+000dB,1.79999957869848e+002°)
2.57039578276886e+000	(6.02056170760707e+000dB,1.79999956888496e+002°)
2.63026799189538e+000	(6.02056170767393e+000dB,1.79999955884285e+002°)
2.69153480392691e+000	(6.02056170774395e+000dB,1.79999954856681e+002°)
2.75422870333816e+000	(6.02056170781726e+000dB,1.79999953805140e+002°)
2.81838293126445e+000	(6.02056170789400e+000dB,1.79999952729104e+002°)
2.88403150312660e+000	(6.02056170797435e+000dB,1.79999951628003e+002°)
2.95120922666638e+000	(6.02056170805849e+000dB,1.79999950501252e+002°)
3.01995172040201e+000	(6.02056170814657e+000dB,1.79999949348255e+002°)
3.09029543251359e+000	(6.02056170823879e+000dB,1.79999948168399e+002°)
3.16227766016837e+000	(6.02056170833534e+000dB,1.79999946961058e+002°)
3.23593656929628e+000	(6.02056170843642e+000dB,1.79999945725593e+002°)
3.31131121482591e+000	(6.02056170854225e+000dB,1.79999944461349e+002°)
3.38844156139202e+000	(6.02056170865305e+000dB,1.79999943167654e+002°)
3.46736850452531e+000	(6.02056170876905e+000dB,1.79999941843823e+002°)
3.54813389233575e+000	(6.02056170889048e+000dB,1.79999940489153e+002°)
3.63078054770101e+000	(6.02056170901761e+000dB,1.79999939102926e+002°)
3.71535229097172e+000	(6.02056170915071e+000dB,1.79999937684407e+002°)
3.80189396320560e+000	(6.02056170929005e+000dB,1.79999936232843e+002°)
3.89045144994280e+000	(6.02056170943591e+000dB,1.79999934747465e+002°)
3.98107170553496e+000	(6.02056170958862e+000dB,1.79999933227484e+002°)
4.07380277804112e+000	(6.02056170974848e+000dB,1.79999931672094e+002°)
4.16869383470335e+000	(6.02056170991582e+000dB,1.79999930080471e+002°)
4.26579518801592e+000	(6.02056171009101e+000dB,1.79999928451769e+002°)
4.36515832240165e+000	(6.02056171027439e+000dB,1.79999926785125e+002°)
4.46683592150962e+000	(6.02056171046635e+000dB,1.79999925079655e+002°)
4.57088189614874e+000	(6.02056171066729e+000dB,1.79999923334454e+002°)
4.67735141287197e+000	(6.02056171087764e+000dB,1.79999921548597e+002°)
4.78630092322637e+000	(6.02056171109781e+000dB,1.79999919721135e+002°)
4.89778819368445e+000	(6.02056171132827e+000dB,1.79999917851099e+002°)
5.01187233627271e+000	(6.02056171156950e+000dB,1.79999915937498e+002°)
5.12861383991364e+000	(6.02056171182198e+000dB,1.79999913979315e+002°)
5.24807460249771e+000	(6.02056171208626e+000dB,1.79999911975513e+002°)
5.37031796370252e+000	(6.02056171236286e+000dB,1.79999909925026e+002°)
5.49540873857623e+000	(6.02056171265236e+000dB,1.79999907826769e+002°)
5.62341325190348e+000	(6.02056171295535e+000dB,1.79999905679627e+002°)
5.75439937337156e+000	(6.02056171327245e+000dB,1.79999903482461e+002°)
5.88843655355588e+000	(6.02056171360431e+000dB,1.79999901234104e+002°)
6.02559586074356e+000	(6.02056171395161e+000dB,1.79999898933364e+002°)
6.16595001861481e+000	(6.02056171431506e+000dB,1.79999896579020e+002°)
6.30957344480192e+000	(6.02056171469539e+000dB,1.79999894169822e+002°)
6.45654229034654e+000	(6.02056171509340e+000dB,1.79999891704492e+002°)
6.60693448007594e+000	(6.02056171550986e+000dB,1.79999889181720e+002°)
6.76082975391980e+000	(6.02056171594565e+000dB,1.79999886600168e+002°)
6.91830970918935e+000	(6.02056171640161e+000dB,1.79999883958466e+002°)
7.07945784384136e+000	(6.02056171687869e+000dB,1.79999881255210e+002°)
7.24435960074988e+000	(6.02056171737784e+000dB,1.79999878488967e+002°)
7.41310241300916e+000	(6.02056171790005e+000dB,1.79999875658266e+002°)
7.58577575029182e+000	(6.02056171844638e+000dB,1.79999872761606e+002°)
7.76247116628690e+000	(6.02056171901792e+000dB,1.79999869797448e+002°)
7.94328234724279e+000	(6.02056171961579e+000dB,1.79999866764217e+002°)
8.12830516164097e+000	(6.02056172024118e+000dB,1.79999863660304e+002°)
8.31763771102669e+000	(6.02056172089533e+000dB,1.79999860484060e+002°)
8.51138038202374e+000	(6.02056172157953e+000dB,1.79999857233797e+002°)
8.70963589956078e+000	(6.02056172229511e+000dB,1.79999853907790e+002°)
8.91250938133743e+000	(6.02056172304347e+000dB,1.79999850504271e+002°)
9.12010839355907e+000	(6.02056172382608e+000dB,1.79999847021432e+002°)
9.33254300796988e+000	(6.02056172464446e+000dB,1.79999843457423e+002°)
9.54992586021433e+000	(6.02056172550017e+000dB,1.79999839810349e+002°)
9.77237220955808e+000	(6.02056172639485e+000dB,1.79999836078274e+002°)
9.99999999999997e+000	(6.02056172733024e+000dB,1.79999832259213e+002°)
1.02329299228075e+001	(6.02056172830810e+000dB,1.79999828351136e+002°)
1.04712854805090e+001	(6.02056172933027e+000dB,1.79999824351967e+002°)
1.07151930523760e+001	(6.02056173039870e+000dB,1.79999820259578e+002°)
