Freq.	V(vo)/V(Vi)
2.81838293126445e+000	(-6.43932941202615e-005dB,-1.79915545220179e+002°)
2.88403150312660e+000	(-6.36698147724840e-005dB,-1.79913578021150e+002°)
2.95120922666638e+000	(-6.29122390102544e-005dB,-1.79911565000563e+002°)
3.01995172040201e+000	(-6.21189599017484e-005dB,-1.79909505091125e+002°)
3.09029543251359e+000	(-6.12882948390598e-005dB,-1.79907397200685e+002°)
3.16227766016837e+000	(-6.04184818796222e-005dB,-1.79905240211653e+002°)
3.23593656929628e+000	(-5.95076760403886e-005dB,-1.79903032980412e+002°)
3.31131121482591e+000	(-5.85539454145856e-005dB,-1.79900774336706e+002°)
3.38844156139202e+000	(-5.75552670473961e-005dB,-1.79898463083026e+002°)
3.46736850452531e+000	(-5.65095225985390e-005dB,-1.79896097993971e+002°)
3.54813389233575e+000	(-5.54144939662900e-005dB,-1.79893677815598e+002°)
3.63078054770101e+000	(-5.42678584650332e-005dB,-1.79891201264763e+002°)
3.71535229097172e+000	(-5.30671839488284e-005dB,-1.79888667028434e+002°)
3.80189396320560e+000	(-5.18099237025935e-005dB,-1.79886073762999e+002°)
3.89045144994280e+000	(-5.04934109147896e-005dB,-1.79883420093555e+002°)
3.98107170553496e+000	(-4.91148531366284e-005dB,-1.79880704613175e+002°)
4.07380277804112e+000	(-4.76713263198935e-005dB,-1.79877925882168e+002°)
4.16869383470335e+000	(-4.61597686002063e-005dB,-1.79875082427311e+002°)
4.26579518801592e+000	(-4.45769738267049e-005dB,-1.79872172741070e+002°)
4.36515832240165e+000	(-4.29195847349550e-005dB,-1.79869195280805e+002°)
4.46683592150962e+000	(-4.11840858614571e-005dB,-1.79866148467946e+002°)
4.57088189614874e+000	(-3.93667960493206e-005dB,-1.79863030687161e+002°)
4.67735141287197e+000	(-3.74638606820412e-005dB,-1.79859840285501e+002°)
4.78630092322637e+000	(-3.54712434650577e-005dB,-1.79856575571518e+002°)
4.89778819368445e+000	(-3.33847178862419e-005dB,-1.79853234814378e+002°)
5.01187233627271e+000	(-3.11998582695018e-005dB,-1.79849816242936e+002°)
5.12861383991364e+000	(-2.89120303588219e-005dB,-1.79846318044803e+002°)
5.24807460249771e+000	(-2.65163815050724e-005dB,-1.79842738365382e+002°)
5.37031796370252e+000	(-2.40078303418036e-005dB,-1.79839075306888e+002°)
5.49540873857623e+000	(-2.13810560898614e-005dB,-1.79835326927343e+002°)
5.62341325190348e+000	(-1.86304871841741e-005dB,-1.79831491239546e+002°)
5.75439937337156e+000	(-1.57502894676622e-005dB,-1.79827566210023e+002°)
5.88843655355588e+000	(-1.27343539059921e-005dB,-1.79823549757944e+002°)
6.02559586074356e+000	(-9.57628352617108e-006dB,-1.79819439754030e+002°)
6.16595001861481e+000	(-6.26937987215449e-006dB,-1.79815234019417e+002°)
6.30957344480192e+000	(-2.80662887332867e-006dB,-1.79810930324508e+002°)
6.45654229034654e+000	(8.19314131589471e-007dB,-1.79806526387790e+002°)
6.60693448007594e+000	(4.61613991531414e-006dB,-1.79802019874626e+002°)
6.76082975391980e+000	(8.59190166462034e-006dB,-1.79797408396020e+002°)
6.91830970918935e+000	(1.27550320918228e-005dB,-1.79792689507350e+002°)
7.07945784384136e+000	(1.71143613184381e-005dB,-1.79787860707079e+002°)
7.24435960074988e+000	(2.16791355454705e-005dB,-1.79782919435424e+002°)
7.41310241300916e+000	(2.64590367455928e-005dB,-1.79777863073007e+002°)
7.58577575029182e+000	(3.14642031361092e-005dB,-1.79772688939466e+002°)
7.76247116628690e+000	(3.67052506795390e-005dB,-1.79767394292037e+002°)
7.94328234724279e+000	(4.21932956445723e-005dB,-1.79761976324104e+002°)
8.12830516164097e+000	(4.79399781116411e-005dB,-1.79756432163713e+002°)
8.31763771102669e+000	(5.39574866815033e-005dB,-1.79750758872050e+002°)
8.51138038202374e+000	(6.02585843867950e-005dB,-1.79744953441895e+002°)
8.70963589956078e+000	(6.68566356444939e-005dB,-1.79739012796020e+002°)
8.91250938133743e+000	(7.37656346928284e-005dB,-1.79732933785571e+002°)
