Freq.	V(vo)/V(Vi)
4.57088189614873e+001	(3.88867785196726e-001dB,-1.66753819092317e+002°)
4.67735141287196e+001	(4.06518368004606e-001dB,-1.66466645736960e+002°)
4.78630092322636e+001	(4.24938894119721e-001dB,-1.66174214489342e+002°)
4.89778819368444e+001	(4.44160188931630e-001dB,-1.65876494278019e+002°)
5.01187233627270e+001	(4.64214072669292e-001dB,-1.65573458650461e+002°)
5.12861383991362e+001	(4.85133372071838e-001dB,-1.65265086139399e+002°)
5.24807460249770e+001	(5.06951930317315e-001dB,-1.64951360644532e+002°)
5.37031796370250e+001	(5.29704615032001e-001dB,-1.64632271829503e+002°)
5.49540873857622e+001	(5.53427324197330e-001dB,-1.64307815533933e+002°)
5.62341325190346e+001	(5.78156989767763e-001dB,-1.63977994200269e+002°)
5.75439937337154e+001	(6.03931578809383e-001dB,-1.63642817315026e+002°)
5.88843655355586e+001	(6.30790091967698e-001dB,-1.63302301863970e+002°)
6.02559586074355e+001	(6.58772559072767e-001dB,-1.62956472800614e+002°)
6.16595001861479e+001	(6.87920031691332e-001dB,-1.62605363527318e+002°)
6.30957344480190e+001	(7.18274572439113e-001dB,-1.62249016388151e+002°)
6.45654229034652e+001	(7.49879240872127e-001dB,-1.61887483172530e+002°)
6.60693448007593e+001	(7.82778075783637e-001dB,-1.61520825628550e+002°)
6.76082975391978e+001	(8.17016073743918e-001dB,-1.61149115984772e+002°)
6.91830970918933e+001	(8.52639163732936e-001dB,-1.60772437479107e+002°)
7.07945784384134e+001	(8.89694177732356e-001dB,-1.60390884893326e+002°)
7.24435960074986e+001	(9.28228817161556e-001dB,-1.60004565091586e+002°)
7.41310241300914e+001	(9.68291615065001e-001dB,-1.59613597561278e+002°)
7.58577575029180e+001	(1.00993189398279e+000dB,-1.59218114954385e+002°)
7.76247116628688e+001	(1.05319971946456e+000dB,-1.58818263627460e+002°)
7.94328234724277e+001	(1.09814584921829e+000dB,-1.58414204178285e+002°)
8.12830516164095e+001	(1.14482167791940e+000dB,-1.58006111977208e+002°)
8.31763771102667e+001	(1.19327917774264e+000dB,-1.57594177691148e+002°)
