Freq.	V(vin)/I(V3)
1.13501081567231e+000	(1.43834024485034e+002dB,1.03484550481517e+002°)
1.13762728582343e+000	(1.43815113328016e+002dB,1.03454562779677e+002°)
1.14024978756117e+000	(1.43796197439245e+002dB,1.03424636324352e+002°)
1.14287833478977e+000	(1.43777276838107e+002dB,1.03394771021965e+002°)
1.14551294144553e+000	(1.43758351543917e+002dB,1.03364966778732e+002°)
1.14815362149688e+000	(1.43739421575921e+002dB,1.03335223500946e+002°)
1.15080038894443e+000	(1.43720486953310e+002dB,1.03305541094373e+002°)
1.15345325782109e+000	(1.43701547695197e+002dB,1.03275919464955e+002°)
1.15611224219210e+000	(1.43682603820618e+002dB,1.03246358518853e+002°)
1.15877735615512e+000	(1.43663655348539e+002dB,1.03216858162125e+002°)
1.16144861384034e+000	(1.43644702297895e+002dB,1.03187418299807e+002°)
1.16412602941049e+000	(1.43625744687496e+002dB,1.03158038838402e+002°)
1.16680961706096e+000	(1.43606782536113e+002dB,1.03128719683581e+002°)
1.16949939101987e+000	(1.43587815862463e+002dB,1.03099460740549e+002°)
1.17219536554813e+000	(1.43568844685171e+002dB,1.03070261915111e+002°)
1.17489755493953e+000	(1.43549869022810e+002dB,1.03041123112612e+002°)
1.17760597352080e+000	(1.43530888893867e+002dB,1.03012044238899e+002°)
1.18032063565173e+000	(1.43511904316796e+002dB,1.02983025198732e+002°)
1.18304155572516e+000	(1.43492915309937e+002dB,1.02954065898192e+002°)
1.18576874816716e+000	(1.43473921891609e+002dB,1.02925166242004e+002°)
1.18850222743702e+000	(1.43454924080043e+002dB,1.02896326135449e+002°)
1.19124200802737e+000	(1.43435921893397e+002dB,1.02867545483949e+002°)
1.19398810446427e+000	(1.43416915349766e+002dB,1.02838824192801e+002°)
1.19674053130724e+000	(1.43397904467187e+002dB,1.02810162166955e+002°)
1.19949930314938e+000	(1.43378889263639e+002dB,1.02781559311195e+002°)
1.20226443461741e+000	(1.43359869757007e+002dB,1.02753015530995e+002°)
1.20503594037179e+000	(1.43340845965128e+002dB,1.02724530731304e+002°)
1.20781383510678e+000	(1.43321817905784e+002dB,1.02696104816736e+002°)
1.21059813355048e+000	(1.43302785596669e+002dB,1.02667737692546e+002°)
1.21338885046497e+000	(1.43283749055431e+002dB,1.02639429263346e+002°)
1.21618600064636e+000	(1.43264708299632e+002dB,1.02611179434344e+002°)
1.21898959892486e+000	(1.43245663346801e+002dB,1.02582988109844e+002°)
1.22179966016487e+000	(1.43226614214358e+002dB,1.02554855195323e+002°)
1.22461619926504e+000	(1.43207560919698e+002dB,1.02526780595137e+002°)
1.22743923115840e+000	(1.43188503480139e+002dB,1.02498764213981e+002°)
1.23026877081238e+000	(1.43169441912926e+002dB,1.02470805956752e+002°)
1.23310483322890e+000	(1.43150376235257e+002dB,1.02442905727856e+002°)
1.23594743344451e+000	(1.43131306464241e+002dB,1.02415063432425e+002°)
1.23879658653036e+000	(1.43112232616950e+002dB,1.02387278974713e+002°)
1.24165230759241e+000	(1.43093154710382e+002dB,1.02359552259355e+002°)
1.24451461177138e+000	(1.43074072761464e+002dB,1.02331883191110e+002°)
1.24738351424294e+000	(1.43054986787067e+002dB,1.02304271674599e+002°)
1.25025903021771e+000	(1.43035896804003e+002dB,1.02276717614267e+002°)
1.25314117494141e+000	(1.43016802829009e+002dB,1.02249220914858e+002°)
1.25602996369487e+000	(1.42997704878769e+002dB,1.02221781480897e+002°)
1.25892541179416e+000	(1.42978602969919e+002dB,1.02194399216395e+002°)
1.26182753459066e+000	(1.42959497118991e+002dB,1.02167074026651e+002°)
1.26473634747115e+000	(1.42940387342500e+002dB,1.02139805815595e+002°)
1.26765186585784e+000	(1.42921273656864e+002dB,1.02112594488187e+002°)
1.27057410520854e+000	(1.42902156078472e+002dB,1.02085439948367e+002°)
1.27350308101666e+000	(1.42883034623614e+002dB,1.02058342101274e+002°)
1.27643880881134e+000	(1.42863909308553e+002dB,1.02031300850909e+002°)
1.27938130415752e+000	(1.42844780149468e+002dB,1.02004316102043e+002°)
1.28233058265602e+000	(1.42825647162488e+002dB,1.01977387759077e+002°)
1.28528665994361e+000	(1.42806510363672e+002dB,1.01950515726634e+002°)
1.28824955169313e+000	(1.42787369769036e+002dB,1.01923699908888e+002°)
1.29121927361353e+000	(1.42768225394515e+002dB,1.01896940210572e+002°)
1.29419584144998e+000	(1.42749077255991e+002dB,1.01870236536225e+002°)
1.29717927098395e+000	(1.42729925369295e+002dB,1.01843588790110e+002°)
